Liczba watkow 4
name;n;r;time
IJK_IKJ_1100_100;1100;100;  0.1860
IJK_IKJ_1100_110;1100;110;  0.1870
IJK_IKJ_1100_220;1100;220;  0.2680
IJK_IKJ_1100_275;1100;275;  0.2690
IJK_IKJ_1200_10;1200;10;  0.3150
IJK_IKJ_1200_12;1200;12;  0.2670
IJK_IKJ_1200_15;1200;15;  0.2260
IJK_IKJ_1200_16;1200;16;  0.2100
IJK_IKJ_1200_20;1200;20;  0.2010
IJK_IKJ_1200_24;1200;24;  0.2600
IJK_IKJ_1200_25;1200;25;  0.1990
IJK_IKJ_1200_30;1200;30;  0.1930
IJK_IKJ_1200_40;1200;40;  0.2220
IJK_IKJ_1200_48;1200;48;  0.1990
IJK_IKJ_1200_50;1200;50;  0.1970
IJK_IKJ_1200_60;1200;60;  0.1850
IJK_IKJ_1200_75;1200;75;  0.2510
IJK_IKJ_1200_80;1200;80;  0.2280
IJK_IKJ_1200_100;1200;100;  0.2020
IJK_IKJ_1200_120;1200;120;  0.2370
IJK_IKJ_1200_150;1200;150;  0.2170
IJK_IKJ_1200_200;1200;200;  0.2680
IJK_IKJ_1200_240;1200;240;  0.3180
IJK_IKJ_1200_300;1200;300;  0.2070
IJK_IKJ_1300_10;1300;10;  0.5520
IJK_IKJ_1300_13;1300;13;  0.2970
IJK_IKJ_1300_20;1300;20;  0.2680
IJK_IKJ_1300_25;1300;25;  0.2530
IJK_IKJ_1300_26;1300;26;  0.2610
IJK_IKJ_1300_50;1300;50;  0.2510
IJK_IKJ_1300_52;1300;52;  0.2540
IJK_IKJ_1300_65;1300;65;  0.2980
IJK_IKJ_1300_100;1300;100;  0.3100
IJK_IKJ_1300_130;1300;130;  0.3020
IJK_IKJ_1300_260;1300;260;  0.4000
IJK_IKJ_1300_325;1300;325;  0.3290
IJK_IKJ_1400_10;1400;10;  0.4260
IJK_IKJ_1400_14;1400;14;  0.3900
IJK_IKJ_1400_20;1400;20;  0.4170
IJK_IKJ_1400_25;1400;25;  0.4070
IJK_IKJ_1400_28;1400;28;  0.3210
IJK_IKJ_1400_35;1400;35;  0.4190
IJK_IKJ_1400_40;1400;40;  0.2970
IJK_IKJ_1400_50;1400;50;  0.3510
IJK_IKJ_1400_56;1400;56;  0.3450
IJK_IKJ_1400_70;1400;70;  0.4220
IJK_IKJ_1400_100;1400;100;  0.3760
IJK_IKJ_1400_140;1400;140;  0.4330
IJK_IKJ_1400_175;1400;175;  0.4040
IJK_IKJ_1400_200;1400;200;  0.3710
IJK_IKJ_1400_280;1400;280;  0.4950
IJK_IKJ_1400_350;1400;350;  0.3720
IJK_IKJ_1500_10;1500;10;  0.5350
