Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_Avg,time_min,time_max
ijk_ikj_1050_14,8.2228E+9,2182066667,1.8032E+9,380E+3,0,2.46486E+9,9753333,1.82E+6,7894667,7837333,34667,0.1969,0.151,0.244
ijk_ikj_1050_15,8206466667,2.1406E+9,1.7708E+9,280E+3,0,2536533333,9.5E+6,1930667,7357333,7.316E+6,36E+3,0.2033,0.15,0.288
ijk_ikj_1050_21,7163533333,1995133333,1.6508E+9,226667,0,2343933333,7.6E+6,2457333,4762667,4698667,57333,0.1832,0.141,0.259
ijk_ikj_1050_25,6.891E+9,1.9038E+9,1573066667,206667,0,2333206667,6.72E+6,2850667,3414667,3.372E+6,48E+3,0.1738,0.135,0.234
ijk_ikj_1050_30,6.7414E+9,1827066667,1510533333,133333,0,2367053333,5.66E+6,2726667,2386667,2314667,46667,0.1717,0.13,0.236
ijk_ikj_1050_35,6.6356E+9,1820933333,1505733333,106667,0,2401573333,5.5E+6,3.164E+6,1.968E+6,1889333,66667,0.1682,0.132,0.216
ijk_ikj_1050_42,6.3822E+9,1807866667,1493733333,106667,0,2.39722E+9,4.48E+6,2.688E+6,1378667,1.304E+6,53333,0.1705,0.135,0.258
ijk_ikj_1050_50,6239466667,1770666667,1463733333,106667,0,2326606667,4.98E+6,3.52E+6,1118667,1.044E+6,52E+3,0.1733,0.137,0.234
ijk_ikj_1050_70,6026066667,1793866667,1.483E+9,20E+3,0,2267633333,12.94E+6,10418667,884E+3,778667,68E+3,0.1759,0.131,0.234
ijk_ikj_1050_75,6.0258E+9,1820466667,1503333333,60E+3,0,2193093333,19286667,16.996E+6,982667,866667,80E+3,0.1847,0.142,0.247
ijk_ikj_1050_105,5826733333,1926266667,1592066667,46667,6667,2007406667,46986667,45913333,1462667,1354667,93333,0.2012,0.158,0.297
ijk_ikj_1050_150,5745333333,1917133333,1585733333,46667,6667,2033713333,40446667,36686667,3898667,3809333,77333,0.1864,0.151,0.222
ijk_ikj_1050_175,5.7256E+9,1.9044E+9,1575466667,53333,6667,2.011E+9,39573333,34610667,5898667,5.78E+6,96E+3,0.2186,0.176,0.264
ijk_ikj_1050_210,5675133333,1935533333,1.599E+9,13333,0,1984426667,38426667,30586667,8745333,8629333,97333,0.2445,0.213,0.284
ijk_ikj_1100_10,10790466667,2857466667,2362066667,506667,0,2932193333,20893333,6065333,15270667,15206667,49333,0.2635,0.2,0.35
ijk_ikj_1100_11,10631866667,2.9886E+9,2473733333,573333,6667,3.02736E+9,16686667,1.168E+6,15.556E+6,15513333,42667,0.2688,0.206,0.325
ijk_ikj_1100_20,7.853E+9,2199266667,1820733333,293333,0,2662466667,7213333,1057333,5686667,5617333,58667,0.2056,0.154,0.275
ijk_ikj_1100_22,8284066667,2262066667,1872466667,280E+3,0,2736833333,6.3E+6,1006667,4866667,4.776E+6,61333,0.2141,0.16,0.302
ijk_ikj_1100_25,7.9238E+9,2.158E+9,1785066667,326667,0,2704053333,7013333,2.068E+6,4026667,3938667,69333,0.204,0.149,0.265
ijk_ikj_1100_44,7003266667,2000466667,1.654E+9,140E+3,0,2633473333,5E+6,3.148E+6,1625333,1513333,84E+3,0.1894,0.152,0.257
ijk_ikj_1100_50,7.1738E+9,2015066667,1.6674E+9,166667,0,2687513333,4786667,3.04E+6,1.24E+6,1146667,76E+3,0.2002,0.15,0.26
ijk_ikj_1100_55,7149866667,2033933333,1679733333,120E+3,0,2707373333,5666667,3.944E+6,1242667,1.128E+6,93333,0.19,0.139,0.248
ijk_ikj_1100_100,6621666667,2154133333,1.7822E+9,66667,0,2289933333,53786667,53.06E+6,1154667,1.008E+6,102667,0.2099,0.163,0.267
ijk_ikj_1100_110,6.7088E+9,2208933333,1825133333,80E+3,0,2314226667,51613333,51322667,1701333,1.536E+6,117333,0.2259,0.182,0.283
ijk_ikj_1100_220,6459266667,2219933333,1831733333,33333,0,2297273333,44026667,33.708E+6,10.636E+6,10.516E+6,126667,0.2813,0.245,0.346
ijk_ikj_1100_275,6.4894E+9,2205666667,1823933333,26667,6667,2318626667,43113333,33149333,10653333,10534667,88E+3,0.1965,0.153,0.227
ijk_ikj_1150_10,12.3294E+9,3252333333,2691466667,626667,6667,3396253333,23.96E+6,5970667,17749333,17673333,65333,0.2963,0.229,0.382
ijk_ikj_1150_23,9.5142E+9,2556066667,2.1158E+9,533333,0,3247093333,8293333,2274667,5210667,5129333,68E+3,0.2362,0.183,0.302
ijk_ikj_1150_25,9053466667,2.487E+9,2056666667,406667,6667,3.06008E+9,8.56E+6,3361333,4641333,4490667,106667,0.2265,0.177,0.294
ijk_ikj_1150_46,8283266667,2.303E+9,1.9056E+9,240E+3,0,3104266667,5.24E+6,3138667,1581333,1453333,109333,0.2262,0.177,0.297
ijk_ikj_1150_50,8197333333,2303466667,1906066667,186667,0,3.07112E+9,5186667,3281333,1417333,1282667,88E+3,0.2122,0.165,0.275
ijk_ikj_1150_115,7676733333,2.472E+9,2044866667,100E+3,0,2644113333,60206667,59133333,2346667,2153333,128E+3,0.2538,0.205,0.313
ijk_ikj_1150_230,7.437E+9,2550133333,2102933333,33333,0,2618666667,49493333,38254667,12321333,12182667,122667,0.3268,0.279,0.371
ijk_ikj_1200_10,14.0094E+9,3.6896E+9,3.055E+9,1046667,0,3.8391E+9,26.38E+6,5866667,20638667,20509333,80E+3,0.3447,0.261,0.445
ijk_ikj_1200_12,11620933333,3.0902E+9,2556266667,780E+3,0,3457146667,16806667,1274667,15537333,15425333,56E+3,0.2847,0.217,0.363
ijk_ikj_1200_15,12250866667,3166333333,2619066667,840E+3,0,3778026667,13093333,1.016E+6,11877333,11745333,81333,0.283,0.22,0.342
ijk_ikj_1200_16,10.7198E+9,2839133333,2347666667,753333,0,3.4655E+9,13113333,1.068E+6,11713333,11618667,84E+3,0.2671,0.2,0.384
ijk_ikj_1200_20,10196066667,2850933333,2357333333,826667,13333,3399146667,9.2E+6,1405333,7506667,7361333,94667,0.2578,0.198,0.31
ijk_ikj_1200_24,9.8534E+9,2683266667,2.2198E+9,633333,0,3.44796E+9,7526667,1745333,4.952E+6,4853333,96E+3,0.2501,0.194,0.339
ijk_ikj_1200_25,10.2868E+9,2775466667,2295733333,680E+3,0,3490653333,9386667,3.172E+6,5318667,5141333,154667,0.2494,0.193,0.31
ijk_ikj_1200_30,10062333333,2723466667,2253533333,606667,0,3.48754E+9,8006667,3562667,3710667,3554667,116E+3,0.243,0.188,0.314
ijk_ikj_1200_40,9.1822E+9,2.56E+9,2118466667,340E+3,0,3.38154E+9,6153333,3.816E+6,2.236E+6,2.096E+6,144E+3,0.2389,0.189,0.289
ijk_ikj_1200_48,9.0176E+9,2521733333,2086333333,300E+3,0,3414026667,6466667,3.956E+6,1958667,1814667,112E+3,0.2505,0.197,0.321
ijk_ikj_1200_50,9313666667,2605333333,2155733333,333333,6667,3.48156E+9,5853333,3602667,1646667,1494667,110667,0.2396,0.18,0.311
ijk_ikj_1200_60,8.8548E+9,2.5368E+9,2.0996E+9,233333,0,3402273333,6.88E+6,4.484E+6,1382667,1218667,125333,0.2481,0.178,0.318
ijk_ikj_1200_75,8.9948E+9,2662466667,2202066667,173333,6667,3.30296E+9,29306667,25690667,1.392E+6,1173333,137333,0.2474,0.186,0.295
ijk_ikj_1200_80,8.6924E+9,2663066667,2205466667,173333,0,3117466667,49146667,46529333,1345333,1.144E+6,144E+3,0.2571,0.205,0.347
ijk_ikj_1200_100,8.5952E+9,2766266667,2289066667,146667,0,2972686667,69.32E+6,68389333,1.528E+6,1.348E+6,134667,0.2558,0.195,0.345
ijk_ikj_1200_120,8531133333,2748466667,2.2744E+9,153333,0,2996953333,63886667,61.94E+6,1962667,1790667,128E+3,0.2899,0.233,0.365
ijk_ikj_1200_150,8576533333,2750066667,2276666667,93333,0,3.02388E+9,62966667,58329333,4689333,4525333,133333,0.2462,0.195,0.312
ijk_ikj_1200_200,8403333333,2833066667,2333866667,40E+3,0,2.92494E+9,56.38E+6,46773333,11746667,11557333,146667,0.3159,0.264,0.374
ijk_ikj_1200_240,8371066667,2846533333,2343333333,40E+3,0,2938426667,59686667,45.952E+6,15.596E+6,15409333,169333,0.3583,0.315,0.42
ijk_ikj_1200_300,8339066667,2875266667,2377333333,46667,0,2989393333,53793333,43405333,11578667,11474667,109333,0.2532,0.204,0.351
ijk_ikj_1250_10,15.8332E+9,4204933333,3479733333,2.46E+6,6667,4322033333,30633333,6.632E+6,24361333,24.224E+6,105333,0.3744,0.299,0.459
ijk_ikj_1250_25,11.6266E+9,3.176E+9,2.6286E+9,1073333,0,3.95632E+9,11013333,4.012E+6,6033333,5794667,193333,0.2898,0.227,0.373
ijk_ikj_1250_50,10527066667,2.9466E+9,2438133333,466667,0,3951826667,6473333,3.904E+6,1865333,1657333,168E+3,0.2793,0.227,0.334
ijk_ikj_1250_125,9741533333,3147533333,2603266667,166667,0,3365286667,74646667,72.728E+6,3737333,3486667,177333,0.3187,0.266,0.386
ijk_ikj_1250_250,9529133333,3233733333,2660333333,66667,0,3402093333,63846667,47.86E+6,16178667,16.008E+6,153333,0.4055,0.354,0.484
ijk_ikj_1300_10,17810866667,4775333333,3.9514E+9,4486667,0,4865406667,34546667,6830667,28070667,27.904E+6,158667,0.4244,0.336,0.499
ijk_ikj_1300_13,15.6432E+9,4158266667,3439666667,3046667,0,4559393333,20726667,856E+3,19861333,19.636E+6,160E+3,0.3849,0.29,0.551
ijk_ikj_1300_20,12963333333,3.635E+9,3007666667,1753333,0,4314113333,12.56E+6,2.096E+6,10.188E+6,9.968E+6,177333,0.3412,0.261,0.493
ijk_ikj_1300_25,13078133333,3528333333,2.9194E+9,1413333,0,4.46844E+9,11386667,3.192E+6,6774667,6481333,244E+3,0.3205,0.246,0.418
ijk_ikj_1300_26,13163733333,3.523E+9,2916266667,1.34E+6,0,4.55084E+9,10.32E+6,2733333,6153333,5.932E+6,188E+3,0.3364,0.255,0.432
ijk_ikj_1300_50,11841133333,3.3004E+9,2732866667,546667,0,4388586667,7.04E+6,4465333,2.108E+6,1.868E+6,209333,0.3154,0.245,0.392
ijk_ikj_1300_52,11385066667,3253333333,2690933333,513333,0,4.33682E+9,7546667,4814667,2105333,1857333,209333,0.3042,0.251,0.398
ijk_ikj_1300_65,11.4388E+9,3.3054E+9,2.7346E+9,453333,0,4304293333,13.52E+6,9202667,1757333,1.496E+6,198667,0.3032,0.232,0.357
ijk_ikj_1300_100,10.9286E+9,3557333333,2.943E+9,200E+3,0,3774673333,87366667,87074667,1793333,1.492E+6,221333,0.354,0.305,0.445
ijk_ikj_1300_130,10.977E+9,3531333333,2921466667,200E+3,0,3.81508E+9,81586667,78.728E+6,4.368E+6,4.092E+6,201333,0.3681,0.299,0.428
ijk_ikj_1300_260,10.6282E+9,3.5822E+9,2941066667,86667,0,3768386667,70866667,54986667,17.744E+6,17549333,184E+3,0.4548,0.398,0.508
ijk_ikj_1300_325,10639666667,3612466667,2988066667,80E+3,6667,3799026667,66.6E+6,54.584E+6,14350667,14218667,112E+3,0.3239,0.273,0.381
ijk_ikj_1350_10,19946933333,5321466667,4406133333,4946667,6667,5.45128E+9,38646667,7110667,31910667,31.684E+6,161333,0.4777,0.376,0.568
ijk_ikj_1350_15,17.4428E+9,4489066667,3.7174E+9,3053333,0,5.44942E+9,18793333,993333,17177333,16.976E+6,161333,0.4108,0.322,0.499
ijk_ikj_1350_18,16145733333,4243133333,3513333333,2.56E+6,0,5171666667,15.2E+6,1289333,13358667,13086667,221333,0.3931,0.3,0.527
ijk_ikj_1350_25,14.646E+9,3977133333,3293066667,1.72E+6,6667,5013313333,13153333,4029333,7.62E+6,7241333,316E+3,0.363,0.285,0.46
ijk_ikj_1350_27,14831733333,3995333333,3304533333,1593333,0,5150413333,13053333,4937333,6797333,6.444E+6,285333,0.3686,0.286,0.433
ijk_ikj_1350_30,14.3276E+9,3879266667,3209266667,1.34E+6,6667,5031993333,11873333,5306667,5.364E+6,5026667,285333,0.3576,0.286,0.431
ijk_ikj_1350_45,13313866667,3733333333,3.088E+9,766667,0,4.91E+9,9.42E+6,5997333,2941333,2561333,313333,0.3518,0.273,0.48
ijk_ikj_1350_50,13260066667,3672933333,3.0396E+9,613333,0,4960093333,7606667,4526667,2.352E+6,2.008E+6,222667,0.3402,0.268,0.437
ijk_ikj_1350_54,13143666667,3.7168E+9,3076866667,560E+3,0,4.9107E+9,8866667,5762667,2.152E+6,1822667,250667,0.3581,0.289,0.461
ijk_ikj_1350_75,12807733333,3813133333,3.1554E+9,386667,0,4735546667,45.4E+6,40.24E+6,1882667,1522667,277333,0.3741,0.298,0.476
ijk_ikj_1350_90,12560466667,3.999E+9,3309666667,333333,6667,4320853333,97.6E+6,96.3E+6,1865333,1489333,284E+3,0.3768,0.299,0.442
ijk_ikj_1350_135,12310733333,4.1978E+9,3.4688E+9,126667,0,4360993333,83026667,78509333,5318667,5033333,216E+3,0.4278,0.355,0.495
ijk_ikj_1350_150,12.2122E+9,3983933333,3293533333,140E+3,0,4.26508E+9,85953333,79881333,7974667,7.696E+6,220E+3,0.4376,0.373,0.518
ijk_ikj_1350_225,12013133333,4050933333,3330733333,133333,6667,4233213333,82.62E+6,63.44E+6,20.292E+6,20038667,222667,0.4483,0.379,0.507
ijk_ikj_1350_270,11980733333,4.1514E+9,3403266667,80E+3,0,4291266667,79.04E+6,61.72E+6,18002667,17801333,198667,0.5189,0.456,0.606
ijk_ikj_1400_10,22.2456E+9,5942866667,4.9176E+9,6846667,0,6044406667,42.94E+6,7517333,36.432E+6,36205333,182667,0.5345,0.421,0.668
ijk_ikj_1400_14,19491133333,5.1104E+9,4.23E+9,4573333,0,5881786667,22086667,1.168E+6,20725333,20506667,172E+3,0.4494,0.357,0.528
ijk_ikj_1400_20,16191133333,4.5548E+9,3.768E+9,3026667,6667,5.39698E+9,14.96E+6,1.944E+6,12649333,12.36E+6,256E+3,0.4094,0.322,0.511
ijk_ikj_1400_25,16.334E+9,4.4844E+9,3.7112E+9,2.54E+6,6667,5521493333,14.46E+6,4293333,8790667,8.332E+6,364E+3,0.3989,0.308,0.495
ijk_ikj_1400_28,15.2624E+9,4.3162E+9,3572066667,1933333,0,5.48918E+9,13873333,4969333,7070667,6617333,356E+3,0.3962,0.306,0.545
ijk_ikj_1400_35,15.7288E+9,4346066667,3.5968E+9,1.42E+6,0,5651226667,13413333,7589333,5.104E+6,4.572E+6,442667,0.3945,0.297,0.498
ijk_ikj_1400_40,14582733333,4137466667,3.4236E+9,1.06E+6,0,5.39222E+9,10.12E+6,5986667,3733333,3358667,314667,0.3791,0.292,0.465
ijk_ikj_1400_50,14789266667,4141533333,3427666667,773333,0,5506753333,8606667,5.276E+6,2.672E+6,2290667,281333,0.3698,0.287,0.462
ijk_ikj_1400_56,14134533333,4.0684E+9,3365866667,573333,0,5391626667,8533333,5266667,2266667,1.84E+6,341333,0.3861,0.315,0.462
ijk_ikj_1400_70,14286066667,4191333333,3469333333,553333,0,5.40042E+9,22506667,16.264E+6,2130667,1754667,294667,0.3741,0.291,0.45
ijk_ikj_1400_100,13648733333,4421266667,3.6594E+9,340E+3,0,4.70484E+9,110266667,108433333,3270667,2885333,282667,0.4316,0.356,0.502
ijk_ikj_1400_140,13.4742E+9,4383866667,3623333333,173333,0,4.71886E+9,98366667,93721333,6.716E+6,6393333,229333,0.4399,0.374,0.498
ijk_ikj_1400_175,13572066667,4526266667,3745933333,153333,0,4714266667,94386667,81850667,15670667,15.364E+6,265333,0.3977,0.32,0.501
ijk_ikj_1400_200,13344466667,4.5318E+9,3733133333,113333,0,4692746667,89.52E+6,72129333,18897333,18617333,228E+3,0.4337,0.362,0.493
ijk_ikj_1400_280,13257533333,4495866667,3.6848E+9,180E+3,0,4724346667,86.18E+6,68.336E+6,19794667,19553333,208E+3,0.5631,0.49,0.627
ijk_ikj_1400_350,13288466667,4479733333,3707266667,126667,0,4826293333,82953333,67.364E+6,16381333,16233333,132E+3,0.3907,0.321,0.465
ijk_ikj_1450_10,24714333333,6.6138E+9,5473266667,10446667,0,6731306667,47.86E+6,7330667,41.196E+6,40.884E+6,238667,0.5899,0.473,0.657
ijk_ikj_1450_25,18148133333,4975933333,4.1178E+9,2866667,0,6.20184E+9,16.1E+6,4.812E+6,9641333,9113333,446667,0.446,0.353,0.529
ijk_ikj_1450_29,17.6314E+9,4.76E+9,3940066667,2333333,6667,6129353333,15886667,6.828E+6,7.492E+6,6993333,397333,0.4385,0.345,0.542
ijk_ikj_1450_50,16430733333,4626466667,3828333333,886667,0,6095573333,10413333,6654667,3001333,2.472E+6,389333,0.4333,0.351,0.528
ijk_ikj_1450_58,16160133333,4651533333,3847666667,760E+3,0,6067433333,13006667,8909333,2.544E+6,2009333,405333,0.4308,0.358,0.545
ijk_ikj_1450_145,15.1056E+9,4912133333,4.0566E+9,213333,0,5284486667,109513333,102.592E+6,8.7E+6,8338667,268E+3,0.5001,0.423,0.585
ijk_ikj_1450_290,14.8204E+9,5017533333,4106866667,80E+3,0,5.2948E+9,97413333,76997333,22.208E+6,21965333,233333,0.6209,0.545,0.685
ijk_ikj_1500_10,27.3618E+9,7380933333,6106866667,13113333,0,7436806667,52386667,6858667,46517333,46.148E+6,285333,0.656,0.52,0.822
ijk_ikj_1500_12,22695333333,6218533333,5145466667,9573333,6667,6.77306E+9,33326667,1513333,31.896E+6,31537333,270667,0.5566,0.439,0.662
ijk_ikj_1500_15,23928533333,6.2932E+9,5.207E+9,7413333,6667,7.4324E+9,25386667,1345333,23510667,23077333,365333,0.5551,0.437,0.674
ijk_ikj_1500_20,19913666667,5571933333,4611466667,4.4E+6,0,6671506667,19593333,3121333,15966667,15.56E+6,380E+3,0.4969,0.391,0.619
ijk_ikj_1500_25,20090733333,5488533333,4542866667,3253333,0,6787493333,17.16E+6,4585333,10861333,10378667,400E+3,0.4875,0.38,0.628
ijk_ikj_1500_30,19653933333,5379866667,4452333333,2513333,0,6.92806E+9,16346667,6821333,7490667,6978667,454667,0.4933,0.383,0.634
ijk_ikj_1500_50,18190266667,5173133333,4281733333,1E+6,13333,6804506667,11026667,6573333,3.172E+6,2618667,470667,0.4771,0.381,0.563
ijk_ikj_1500_60,17.2938E+9,5149533333,4.261E+9,853333,0,6.63986E+9,15273333,10.42E+6,2793333,2153333,490667,0.4809,0.394,0.647
ijk_ikj_1500_75,17569266667,5256333333,4350266667,566667,0,6.47674E+9,54.78E+6,47678667,2.78E+6,2.144E+6,466667,0.4618,0.366,0.567
ijk_ikj_1500_100,16788733333,5.8986E+9,4878266667,340E+3,0,5873633333,120846667,118465333,3465333,2973333,382667,0.5395,0.442,0.647
ijk_ikj_1500_125,16.8334E+9,5534066667,4.5794E+9,293333,0,5.83484E+9,128226667,122422667,8.108E+6,7629333,348E+3,0.4853,0.386,0.595
ijk_ikj_1500_150,16.7504E+9,5482866667,4524733333,220E+3,0,5879093333,119.1E+6,109914667,10917333,10510667,332E+3,0.5508,0.461,0.66
ijk_ikj_1500_250,16.466E+9,5580533333,4578266667,126667,6667,5.82956E+9,109746667,84.812E+6,27038667,26.72E+6,276E+3,0.5988,0.516,0.698
ijk_ikj_1500_300,16288133333,5643733333,4614466667,133333,0,5848846667,103193333,82361333,22.816E+6,22549333,234667,0.7114,0.618,0.799
ijk_ikj_1500_375,16343933333,5443133333,4.5024E+9,140E+3,6667,5.90154E+9,106866667,88.96E+6,20010667,19822667,181333,0.4786,0.382,0.566
ijk_100,2533333,3133333,2866667,0,0,1773333,53333,45333,2667,0,0,0.0004,0,0.001
ijk_150,11.6E+6,11933333,9866667,0,0,6613333,186667,197333,4E+3,4E+3,0,0.001,0,0.001
ijk_200,27733333,28.8E+6,24333333,0,0,16.12E+6,573333,473333,50667,42667,0,0.0023,0.002,0.003
ijk_250,55466667,58266667,48066667,0,6667,29.76E+6,1313333,1178667,194667,192E+3,0,0.0046,0.004,0.005
ijk_300,95333333,102.6E+6,84466667,0,0,59913333,2853333,1.304E+6,497333,486667,4E+3,0.0079,0.007,0.009
ijk_350,151333333,164.8E+6,136133333,0,0,87826667,4906667,3.416E+6,774667,770667,1333,0.0136,0.012,0.016
ijk_400,225.4E+6,251133333,207.4E+6,0,6667,136.08E+6,9693333,6994667,2418667,2418667,2667,0.0204,0.018,0.025
ijk_450,321733333,356333333,294266667,0,0,167.52E+6,21.54E+6,16.3E+6,2.844E+6,2.84E+6,1333,0.0291,0.026,0.037
ijk_500,440.6E+6,492133333,406533333,0,0,207486667,57606667,46.956E+6,4033333,4029333,5333,0.0411,0.035,0.052
ijk_550,586.6E+6,659933333,546266667,0,0,198366667,137166667,126734667,6.756E+6,6.752E+6,4E+3,0.0555,0.047,0.066
ijk_600,761533333,865.6E+6,715.4E+6,0,0,224573333,210506667,196.196E+6,8.38E+6,8346667,10667,0.0715,0.062,0.09
ijk_650,968.2E+6,1.1084E+9,914466667,6667,0,273.98E+6,275913333,259.9E+6,12598667,12561333,9333,0.0907,0.079,0.105
ijk_700,1.208E+9,1381666667,1.1432E+9,0,0,342.96E+6,344.2E+6,326162667,14530667,14506667,8E+3,0.1121,0.098,0.131
ijk_750,1486133333,1.7102E+9,1413733333,60E+3,6667,432026667,433986667,390.408E+6,17558667,17485333,32E+3,0.1406,0.122,0.156
ijk_800,1.8032E+9,2105333333,1.741E+9,26667,0,508.44E+6,514066667,453889333,54.92E+6,54737333,77333,0.1784,0.149,0.216
ijk_850,2162533333,2500066667,2067933333,160E+3,0,627553333,627173333,564.14E+6,33006667,32801333,97333,0.2067,0.179,0.225
ijk_900,2.5662E+9,3.0724E+9,2536466667,6226667,0,734.8E+6,733893333,681601333,36390667,35.864E+6,257333,0.2904,0.218,0.379
ijk_950,3018266667,3.6282E+9,2999333333,4.86E+6,0,841.54E+6,850.44E+6,807838667,57441333,56.652E+6,297333,0.3511,0.264,0.444
ijk_1000,3519466667,4273933333,3534866667,7.32E+6,0,987.66E+6,996093333,934349333,69161333,67.552E+6,580E+3,0.463,0.318,0.556
ijk_1050,4075266667,5241866667,4335933333,9013333,0,1.1395E+9,1147653333,1085194667,80917333,77.692E+6,1158667,0.5448,0.371,0.794
ijk_1100,4684733333,6010266667,4.9702E+9,9373333,6667,1.3096E+9,1319666667,1247086667,93.296E+6,87821333,1969333,0.621,0.424,0.85
ijk_1150,5352666667,7.4172E+9,6.136E+9,14466667,20E+3,1496453333,1505626667,1400178667,131074667,122429333,3.312E+6,0.748,0.517,0.902
ijk_1200,6080866667,7.6674E+9,6343266667,13853333,6667,1690393333,1718253333,1583377333,155782667,143113333,4.38E+6,0.7769,0.546,1.045
ijk_1250,6872266667,9888133333,8181333333,89333333,13333,1918313333,1924146667,1.73942E+9,233.14E+6,215.696E+6,7186667,0.9862,0.706,1.216
ijk_1300,7729933333,10739533333,8884466667,257666667,0,2.15914E+9,2170186667,1907345333,307.808E+6,286.604E+6,8.796E+6,1.0494,0.761,1.292
ijk_1350,8.6552E+9,12710333333,10.5122E+9,203446667,0,2421086667,2.42658E+9,2159190667,319253333,292330667,11117333,1.2595,0.902,1.546
ijk_1400,9.6546E+9,13.0092E+9,10.7562E+9,331786667,0,2693433333,2.71188E+9,2373545333,389.704E+6,352.564E+6,14806667,1.2916,0.926,1.622
ijk_1450,10727866667,17.0614E+9,14.1086E+9,697146667,13333,3.00182E+9,3.00446E+9,2519097333,550685333,510.372E+6,18.14E+6,1.6316,1.184,2.213
ijk_1500,11.875E+9,17677266667,14620733333,768.98E+6,13333,3.3303E+9,3341933333,2.736872E+9,651114667,603.728E+6,22.716E+6,1.7487,1.245,2.083
