Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	Read req L3	L3 misses
multiply_matrices_ijk_ikj_1200_100(void)	OMPMul.exe	1039	4027	407	5814	12186	385	8	322	49
multiply_matrices_ijk_ikj_1150_50(void)	OMPMul.exe	1027	4491	152	5693	12181	614	19	212	67
multiply_matrices_ijk_ikj_1200_200(void)	OMPMul.exe	1017	3119	376	4733	9082	233	7	1830	51
multiply_matrices_ijk_ikj_1150_1150(void)	OMPMul.exe	1000	3818	148	5676	8091	1	31	1089	83
multiply_matrices_ijk_ikj_1200_80(void)	OMPMul.exe	980	3868	173	5632	11978	458	13	203	54
multiply_matrices_ijk_ikj_1150_115(void)	OMPMul.exe	974	4426	449	5646	9253	257	3	423	48
multiply_matrices_ijk_ikj_1100_55(void)	OMPMul.exe	962	5029	125	5611	11468	492	13	174	54
multiply_matrices_ijk_ikj_1100_110(void)	OMPMul.exe	955	4035	444	5556	9934	261	8	403	61
multiply_matrices_ijk_ikj_1200_240(void)	OMPMul.exe	951	3494	375	5139	10145	165	5	1454	35
multiply_matrices_ijk_ikj_1100_550(void)	OMPMul.exe	930	3373	222	4886	7912	39	24	1172	59
multiply_matrices_ijk_ikj_1050_175(void)	OMPMul.exe	865	3826	369	4785	8063	139	3	1126	44
multiply_matrices_ijk_ikj_1250_50(void)	OMPMul.exe	823	3697	112	4682	9983	485	15	229	58
multiply_matrices_ijk_ikj_1050_350(void)	OMPMul.exe	779	2608	197	3624	6249	81	3	1115	39
multiply_matrices_ijk_ikj_1000_125(void)	OMPMul.exe	774	3287	393	4208	6864	165	1	994	55
multiply_matrices_ijk_ikj_1100_275(void)	OMPMul.exe	769	3540	251	4177	7205	84	3	1008	44
multiply_matrices_ijk_ikj_1050_210(void)	OMPMul.exe	762	2996	303	4001	7269	120	2	1135	39
multiply_matrices_ijk_ikj_1100_1100(void)	OMPMul.exe	755	2216	113	3581	5885	3	27	1067	49
multiply_matrices_ikj_1200(void)	OMPMul.exe	742	2835	146	4110	4694	7	37	1332	30
multiply_matrices_ikj_1150(void)	OMPMul.exe	726	2750	99	3487	3548	6	38	1318	20
multiply_matrices_ijk_ikj_1050_105(void)	OMPMul.exe	711	3173	376	4229	6765	182	6	775	27
multiply_matrices_ijk_ikj_1000_50(void)	OMPMul.exe	694	3144	109	4086	8401	358	11	150	48
multiply_matrices_ijk_ikj_1100_100(void)	OMPMul.exe	684	2758	205	3952	8379	248	6	182	37
multiply_matrices_ijk_ikj_950_475(void)	OMPMul.exe	676	2788	155	3885	5693	31	3	757	46
multiply_matrices_ijk_ikj_1150_230(void)	OMPMul.exe	654	2563	255	3409	6228	107	3	956	35
multiply_matrices_ijk_ikj_1200_60(void)	OMPMul.exe	651	2567	107	3650	7879	361	8	135	46
multiply_matrices_ijk_ikj_1050_150(void)	OMPMul.exe	648	2332	292	3187	5626	142	3	1054	41
multiply_matrices_ijk_ikj_1000_500(void)	OMPMul.exe	641	2006	153	3255	5856	36	6	911	53
multiply_matrices_ijk_ikj_1000_250(void)	OMPMul.exe	639	2608	232	3392	6383	83		927	36
multiply_matrices_ijk_ikj_1100_220(void)	OMPMul.exe	636	2610	311	3827	7616	99	3	853	19
multiply_matrices_ikj_1050(void)	OMPMul.exe	618	2392	89	2989	3131	5	25	909	10
multiply_matrices_ijk_ikj_1000_100(void)	OMPMul.exe	616	2456	355	3587	7472	188		433	45
multiply_matrices_ikj_1100(void)	OMPMul.exe	615	2465	124	3279	4060	3	28	957	10
multiply_matrices_ijk_700(void)	OMPMul.exe	583	1421	942	3684	2520	5939	81	544	5
multiply_matrices_ijk_ikj_950_190(void)	OMPMul.exe	582	1916	204	2590	4654	104	1	976	43
multiply_matrices_ijk_ikj_950_50(void)	OMPMul.exe	582	2556	88	3250	6893	305	9	135	48
multiply_matrices_ijk_ikj_950_95(void)	OMPMul.exe	581	2885	135	3224	6369	171	4	150	48
multiply_matrices_ijk_ikj_1000_200(void)	OMPMul.exe	578	1643	183	2497	4807	113	3	1091	49
multiply_matrices_ijk_ikj_1050_75(void)	OMPMul.exe	571	2962	124	3394	6557	247	10	147	36
multiply_matrices_ijk_ikj_1200_300(void)	OMPMul.exe	561	1857	184	2673	5428	91	3	938	35
multiply_matrices_ijk_ikj_1050_70(void)	OMPMul.exe	552	2609	125	3200	6721	239	4	136	38
multiply_matrices_ijk_ikj_1000_1000(void)	OMPMul.exe	538	1615	89	2466	4245	4	17	803	14
multiply_matrices_ijk_ikj_900_225(void)	OMPMul.exe	508	2081	170	2542	4300	63	1	727	18
multiply_matrices_ijk_ikj_1050_525(void)	OMPMul.exe	502	2013	97	2836	4092	17	6	552	29
multiply_matrices_ijk_ikj_900_50(void)	OMPMul.exe	492	2252	66	2882	6174	232	3	79	19
multiply_matrices_ijk_ikj_950_950(void)	OMPMul.exe	481	1825	71	2579	3893	4	14	666	48
multiply_matrices_ijk_ikj_900_75(void)	OMPMul.exe	474	2426	62	2694	5442	165	4	84	28
multiply_matrices_ikj_1000(void)	OMPMul.exe	467	1925	89	2533	3174	2	17	697	6
multiply_matrices_ijk_ikj_900_100(void)	OMPMul.exe	467	1787	179	2672	5303	125	4	199	35
multiply_matrices_ikj_950(void)	OMPMul.exe	466	1813	69	2259	2399	3	14	673	5
multiply_matrices_ijk_ikj_900_150(void)	OMPMul.exe	454	1385	171	1861	3339	99	2	760	26
multiply_matrices_ijk_ikj_900_90(void)	OMPMul.exe	439	2040	85	2493	5256	143	2	84	25
multiply_matrices_ijk_ikj_900_60(void)	OMPMul.exe	436	1897	60	2646	5851	200	6	75	17
multiply_matrices_ijk_650(void)	OMPMul.exe	430	1053	704	2642	1876	4609	29	462	5
clean_1500(void)	OMPMul.exe	393	1824	18	2212	4153	1		69	37
multiply_matrices_ijk_ikj_850_50(void)	OMPMul.exe	383	1880	52	2425	5067	161	5	64	15
multiply_matrices_ijk_ikj_1050_50(void)	OMPMul.exe	365	1600	67	2009	4313	216	5	82	24
