Function	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses	time
ijk_ikj_600_50	92	533	19	502	972	3	2	4	2	0.0004
ijk_ikj_600_60	92	535	23	571	1147	2		3	2	0.0004
ijk_ikj_600_75	107	702	28	603	985	19	1	5	2	0.0004
ijk_ikj_600_100	96	457	65	549	943	25	1	4	1	0.0004
ijk_ikj_600_120	106	450	93	607	807	21		2	1	0.0004
ijk_ikj_600_150	111	582	73	663	905	17		5	3	0.0004
ijk_ikj_600_200	94	391	52	481	695	14		3	1	0.0005
ijk_ikj_600_300	87	466	45	538	854	9		4	2	0.0004
ijk_ikj_600_600	109	446	15	635	799	4	2	5	2	0.0004
ijk_ikj_650_50	121	733	21	689	1341	5		5	2	0.0004
ijk_ikj_650_65	127	885	16	771	1274	4		4	2	0.0005
ijk_ikj_650_130	140	710	99	843	1070	28	2	4	3	0.0005
ijk_ikj_650_325	150	873	56	890	1089	10		7	2	0.0006
ijk_ikj_650_650	155	699	19	905	1010	5	2	2	1	0.0006
ijk_ikj_700_50	149	943	30	902	1710	6		5	4	0.0006
ijk_ikj_700_70	160	990	24	917	1742	65	1	6	2	0.0006
ijk_ikj_700_100	134	695	49	764	1435	47	1	3	1	0.0007
ijk_ikj_700_140	173	733	123	950	1370	36	2	5	4	0.0006
ijk_ikj_700_175	195	1065	104	1154	1380	27		2	2	0.0007
ijk_ikj_700_350	168	864	63	1054	1298	13	1	7	5	0.0008
ijk_ikj_700_700	161	639	24	916	1154	7	1	6	3	0.0007
ijk_ikj_750_50	189	1156	48	1110	2105	8	2	14	8	0.0007
ijk_ikj_750_75	211	1277	53	1167	1860	85	3	8	6	0.0008
ijk_ikj_750_125	274	1348	169	1553	1825	48		14	8	0.0009
ijk_ikj_750_150	232	1159	146	1352	1751	40	1	5	2	0.0011
ijk_ikj_750_250	206	1076	100	1176	1602	24		7	3	0.0010
ijk_ikj_750_375	287	1392	84	1750	1713	16	2	8	2	0.0008
ijk_ikj_750_750	245	1134	35	1488	1638	4	4	28	16	0.0012
ijk_ikj_800_50	232	1462	51	1429	2666	13	4	26	11	0.0010
ijk_ikj_800_80	367	1860	104	2039	3552	188	1	11	3	0.0010
ijk_ikj_800_100	434	2140	311	2555	4365	159	3	20	10	0.0008
ijk_ikj_800_160	471	1998	313	2677	3567	102	1	14	7	0.0009
ijk_ikj_800_200	462	2002	287	2623	3610	80	2	19	10	0.0010
ijk_ikj_800_400	548	2071	170	3228	3684	37	2	14	10	0.0009
ijk_ikj_800_800	522	2136	104	3204	3804	11	10	7	4	0.0011
ijk_ikj_850_50	549	3387	100	3254	6188	31	11	13	11	0.0011
ijk_ikj_850_85	606	3825	137	3470	5713	242	4	17	12	0.0011
