Function	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses	time
ijk_ikj_1300_50	1208.33	1519583333.33	4983333.33	1734416666.67	3257416666.67	22458333.33	641666.67	14633333.33	3033333.33	1.2703
ijk_ikj_1300_52	1174.00	1355833333.33	4766666.67	1724416666.67	3434416666.67	21275000.00	625000.00	6600000.00	2233333.33	1.2387
ijk_ikj_1300_65	1182.33	1722000000.00	4116666.67	1747250000.00	3008916666.67	17616666.67	450000.00	9833333.33	2916666.67	1.2643
ijk_ikj_1300_100	1010.33	1187916666.67	7916666.67	1464916666.67	2851416666.67	12225000.00	241666.67	14283333.33	2166666.67	1.0703
ijk_ikj_1300_130	1332.00	1468750000.00	22200000.00	1889166666.67	2722500000.00	9608333.33	225000.00	56216666.67	4516666.67	1.3807
ijk_ikj_1300_260	1059.00	1132250000.00	13066666.67	1465833333.33	2516833333.33	5475000.00	183333.33	48316666.67	2216666.67	1.0987
ijk_ikj_1300_325	1290.33	1684333333.33	11700000.00	1896083333.33	2577333333.33	4216666.67	291666.67	46633333.33	2400000.00	1.3810
ijk_ikj_1300_650	1356.67	1398500000.00	10100000.00	1988250000.00	2428333333.33	683333.33	1633333.33	32716666.67	1666666.67	1.4663
ijk_ikj_1300_1300	1231.00	835250000.00	3983333.33	1912750000.00	1531166666.67	75000.00	725000.00	24716666.67	15766666.67	1.8400
ijk_ikj_1350_50	785.33	1096750000.00	3483333.33	1156833333.33	2012750000.00	16825000.00	525000.00	3733333.33	2016666.67	1.4333
ijk_ikj_1350_54	818.67	1209583333.33	3441666.67	1233750000.00	2296833333.33	15808333.33	441666.67	6033333.33	3166666.67	1.5133
ijk_ikj_1350_75	850.33	1304083333.33	2766666.67	1274250000.00	1841583333.33	11825000.00	291666.67	2500000.00	1433333.33	1.4957
ijk_ikj_1350_90	671.33	1047250000.00	3875000.00	1009250000.00	1736500000.00	9950000.00	216666.67	2333333.33	1283333.33	1.2667
ijk_ikj_1350_135	996.00	1327416666.67	15016666.67	1495833333.33	1774750000.00	6883333.33	191666.67	2266666.67	1333333.33	1.7467
ijk_ikj_1350_150	895.00	1128750000.00	15241666.67	1336833333.33	1740750000.00	6233333.33	158333.33	2133333.33	950000.00	1.5690
ijk_ikj_1350_225	882.67	1224250000.00	11158333.33	1326833333.33	1517750000.00	4433333.33	141666.67	1950000.00	1150000.00	1.5630
ijk_ikj_1350_270	790.00	1041916666.67	9875000.00	1155583333.33	1569083333.33	3933333.33	141666.67	1200000.00	750000.00	1.3893
ijk_ikj_1350_450	1044.00	1098500000.00	8983333.33	1607000000.00	1577250000.00	1575000.00	783333.33	1333333.33	833333.33	1.7290
ijk_ikj_1350_675	1124.33	1299916666.67	7925000.00	1737166666.67	1558416666.67	366666.67	1175000.00	1183333.33	766666.67	1.8727
ijk_ikj_1350_1350	1487.33	1069250000.00	4391666.67	2206916666.67	1508416666.67	66666.67	775000.00	36166666.67	24500000.00	2.3143
ijk_ikj_1400_50	453.67	640333333.33	2166666.67	664666666.67	1163000000.00	9700000.00	283333.33	1500000.00	783333.33	1.5833
ijk_ikj_1400_56	371.67	451583333.33	2016666.67	532666666.67	890500000.00	8600000.00	216666.67	1866666.67	1050000.00	1.3527
ijk_ikj_1400_70	445.00	650416666.67	2308333.33	647750000.00	1174916666.67	6875000.00	166666.67	1366666.67	633333.33	1.5747
ijk_ikj_1400_100	368.00	479416666.67	3100000.00	539833333.33	975916666.67	5033333.33	108333.33	933333.33	600000.00	1.3377
ijk_ikj_1400_140	446.33	491333333.33	8858333.33	644916666.67	923416666.67	3716666.67	91666.67	733333.33	433333.33	1.5630
ijk_ikj_1400_175	540.67	726833333.33	7550000.00	782583333.33	949083333.33	3108333.33	83333.33	750000.00	433333.33	1.8253
ijk_ikj_1400_200	394.33	446416666.67	6908333.33	561833333.33	794416666.67	2833333.33	100000.00	650000.00	416666.67	1.4033
ijk_ikj_1400_280	377.33	459166666.67	5541666.67	554833333.33	818250000.00	2066666.67	91666.67	600000.00	433333.33	1.3423
ijk_ikj_1400_350	1061.33	1183750000.00	9458333.33	1570750000.00	2281416666.67	3275000.00	300000.00	34516666.67	866666.67	1.6717
ijk_ikj_1400_700	1069.33	904500000.00	7958333.33	1452250000.00	2115333333.33	391666.67	1566666.67	39316666.67	533333.33	1.6370
ijk_ikj_1400_1400	1620.33	929000000.00	4525000.00	2332000000.00	2014750000.00	50000.00	916666.67	59966666.67	35800000.00	2.4783
ijk_ikj_1450_50	1181.00	1463083333.33	4941666.67	1698166666.67	3343750000.00	20225000.00	575000.00	6866666.67	1950000.00	1.7730
ijk_ikj_1450_58	1093.00	1456250000.00	4200000.00	1662000000.00	3260833333.33	17566666.67	525000.00	6216666.67	1616666.67	1.6933
ijk_ikj_1450_145	1270.67	1553166666.67	18875000.00	1904250000.00	2600333333.33	8350000.00	233333.33	51866666.67	1033333.33	2.0840
ijk_ikj_1450_290	1046.67	1261083333.33	10958333.33	1526666666.67	2449583333.33	4633333.33	241666.67	46133333.33	1033333.33	1.6850
ijk_ikj_1450_725	1459.67	1622833333.33	9350000.00	2236666666.67	2625583333.33	383333.33	1700000.00	39850000.00	1016666.67	2.3180
ijk_ikj_1450_1450	1716.33	1289083333.33	5008333.33	2669833333.33	2255166666.67	66666.67	1008333.33	69316666.67	49566666.67	2.8450
ijk_ikj_1500_50	1266.67	1610500000.00	5200000.00	1895083333.33	3670333333.33	22683333.33	725000.00	7650000.00	2016666.67	1.9447
ijk_ikj_1500_60	1202.33	1382000000.00	4333333.33	1764000000.00	3637166666.67	19225000.00	533333.33	6733333.33	1800000.00	1.8010
ijk_ikj_1500_75	1299.67	1844166666.67	4708333.33	1896250000.00	3436000000.00	15783333.33	391666.67	6100000.00	1550000.00	1.9617
ijk_ikj_1500_100	1101.00	1263833333.33	8950000.00	1628500000.00	3255916666.67	12233333.33	308333.33	8100000.00	1300000.00	1.6447
ijk_ikj_1500_125	1562.67	1823416666.67	23233333.33	2211666666.67	3165916666.67	10308333.33	300000.00	44950000.00	1483333.33	2.3820
ijk_ikj_1500_150	1397.67	1397500000.00	18616666.67	1757083333.33	2728333333.33	9533333.33	216666.67	63050000.00	1516666.67	2.1000
ijk_ikj_1500_250	1783.00	2116166666.67	20683333.33	2461500000.00	3823916666.67	8783333.33	258333.33	52850000.00	2016666.67	1.8573
ijk_ikj_1500_300	1336.67	1530916666.67	16383333.33	1927416666.67	3235500000.00	6250000.00	275000.00	29850000.00	1983333.33	1.6643
ijk_ikj_1500_375	1567.00	1757916666.67	12175000.00	2330583333.33	2165916666.67	3583333.33	675000.00	3566666.67	2150000.00	2.5867
ijk_ikj_1500_500	1245.33	1175666666.67	12966666.67	1949083333.33	2134250000.00	1325000.00	1933333.33	6766666.67	3233333.33	2.1490
ijk_ikj_1500_750	1354.33	1459833333.33	10541666.67	2047500000.00	2103250000.00	450000.00	1833333.33	2900000.00	1783333.33	2.2627
ijk_ikj_1500_1500	1928.67	1112666666.67	5025000.00	2773250000.00	1985083333.33	75000.00	1200000.00	75650000.00	66283333.33	3.0163
