Liczba watkow 8 
name;n;r;parallel;time;result;loops_no
SEQ_IKJ 50;50;0;0;31281.349938;  0.0010
IJK 50;50;0;1;31158.402983;  0.0000
SEQ_IKJ 100;100;0;0;250867.052197;  0.0030
IJK 100;100;0;1;253038.305750;  0.0030
SEQ_IKJ 150;150;0;0;839777.848682;  0.0120
IJK 150;150;0;1;844231.579290;  0.0100
SEQ_IKJ 200;200;0;0;2005789.374218;  0.0260
IJK 200;200;0;1;1999733.136585;  0.0240
SEQ_IKJ 250;250;0;0;3895858.205746;  0.0530
IJK 250;250;0;1;3897834.614491;  0.0460
SEQ_IKJ 300;300;0;0;6721181.070667;  0.0900
IJK 300;300;0;1;6733384.786041;  0.0780
SEQ_IKJ 350;350;0;0;10728437.441399;  0.1430
IJK 350;350;0;1;10734966.575150;  0.1260
SEQ_IKJ 400;400;0;0;16002226.464104;  0.2110
IJK 400;400;0;1;16045284.534462;  0.1840
SEQ_IKJ 450;450;0;0;22682961.136818;  0.3040
IJK 450;450;0;1;22769594.889313;  0.2650
SEQ_IKJ 500;500;0;0;31277842.550270;  0.4100
IJK 500;500;0;1;31325493.651848;  0.3780
SEQ_IKJ 550;550;0;0;41586443.947189;  0.5450
IJK 550;550;0;1;41667787.293571;  0.5290
SEQ_IKJ 600;600;0;0;54153312.456802;  0.7220
IJK 600;600;0;1;53971700.009727;  0.7080
SEQ_IKJ 650;650;0;0;68694266.625931;  0.9000
IJK 650;650;0;1;68760989.670578;  0.8500
SEQ_IKJ 700;700;0;0;85907630.262527;  1.1520
IJK 700;700;0;1;85757319.391800;  1.0660
SEQ_IKJ 750;750;0;0;105558688.878036;  1.3700
IJK 750;750;0;1;105663480.288315;  1.3910
SEQ_IKJ 800;800;0;0;128058353.098022;  1.7080
IJK 800;800;0;1;128142075.319824;  1.7490
SEQ_IKJ 850;850;0;0;153462030.900650;  2.0190
IJK 850;850;0;1;153374755.472229;  2.2040
SEQ_IKJ 900;900;0;0;182352187.681259;  2.4310
IJK 900;900;0;1;181885886.022705;  2.8150
SEQ_IKJ 950;950;0;0;214049437.590057;  2.8010
IJK 950;950;0;1;214223383.304947;  3.4390
SEQ_IKJ 1000;1000;0;0;250025037.031586;  3.3580
