"Function / Call Stack","INST_RETIRED.ANY","CPU_CLK_UNHALTED.THREAD","CPU_CLK_UNHALTED.REF_TSC","DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK","ITLB_MISSES.MISS_CAUSES_A_WALK","MEM_LOAD_RETIRED.L1_HIT_PS","MEM_LOAD_RETIRED.L1_MISS_PS","MEM_LOAD_RETIRED.L2_HIT_PS","MEM_LOAD_RETIRED.L2_MISS_PS","MEM_LOAD_RETIRED.L3_HIT_PS","MEM_LOAD_RETIRED.L3_MISS_PS"
"ExpInterlockedPopEntrySList","70200000","668000000","570000000","240000","0","11800000","2400000","160000","1640000","280000","40000"
"func@0x140177270","67800000","830000000","588000000","0","1400000","15000000","6800000","3200000","2200000","1840000","200000"
"KeClockInterruptNotify","49400000","304000000","242000000","340000","0","10400000","4200000","560000","2160000","1840000","120000"
"func@0x140206958","47000000","68000000","62000000","20000","0","9600000","1800000","520000","1600000","1240000","160000"
"func@0x140153060","39600000","42000000","20000000","0","0","11000000","200000","0","0","120000","0"
"func@0x140225f54","35800000","32000000","22000000","0","0","2000000","0","0","0","0","0"
"func@0x140094820","35800000","50000000","46000000","40000","200000","8600000","1600000","1280000","680000","480000","40000"
"func@0x140086700","32200000","12000000","14000000","0","0","1600000","0","0","0","0","0"
"func@0x14007d4d0","31200000","30000000","36000000","0","0","15400000","0","0","40000","80000","0"
"func@0x140171154","31000000","14000000","6000000","0","0","4800000","200000","0","0","0","0"
"func@0x1c00015f8","30200000","78000000","54000000","0","200000","7600000","0","80000","0","0","0"
"func@0x1400f3650","27600000","312000000","260000000","880000","0","5800000","1200000","840000","880000","640000","0"
"func@0x14017ca90","24400000","398000000","294000000","120000","200000","3200000","1600000","1600000","520000","400000","120000"
"SwitchToThread","22600000","742000000","566000000","80000","200000","9000000","0","120000","0","0","0"
"GetTickCount","20200000","1128000000","860000000","60000","400000","2400000","0","40000","0","0","0"
"func@0x1400c4270","20000000","22000000","14000000","0","0","3200000","0","40000","160000","160000","40000"
"func@0x1400b5ebf","18800000","108000000","100000000","80000","0","3200000","0","0","80000","0","0"
"func@0x1400e2798","18400000","8000000","2000000","0","0","2600000","400000","200000","0","120000","0"
"HalRequestClockInterrupt","17400000","52000000","62000000","80000","0","4000000","200000","80000","440000","840000","80000"
"func@0x1400faf90","16400000","14000000","10000000","0","0","1000000","200000","80000","0","40000","0"
"func@0x1400c5580","16200000","84000000","52000000","280000","0","4800000","0","80000","360000","120000","160000"
"func@0x14000ab40","12200000","8000000","8000000","20000","0","400000","200000","0","0","40000","0"
"func@0x140012cc0","12000000","60000000","88000000","120000","0","5000000","200000","240000","440000","360000","120000"
"RtlCopyMemory","11600000","26000000","10000000","0","0","800000","200000","240000","200000","120000","280000"
"func@0x1400c5d90","11400000","62000000","50000000","0","0","3600000","600000","80000","200000","200000","80000"
"func@0x1c00033b0","10200000","16000000","16000000","0","0","1600000","200000","280000","160000","240000","40000"
"func@0x1400f7b50","10000000","10000000","10000000","0","0","200000","0","0","0","0","0"
"func@0x140086fd0","9800000","14000000","42000000","0","0","2600000","600000","120000","120000","40000","40000"
"func@0x140083160","9400000","8000000","2000000","0","0","200000","0","0","0","0","0"
"func@0x140206b98","8600000","22000000","14000000","0","0","1600000","600000","40000","480000","280000","0"
"func@0x14017a4d0","7600000","44000000","32000000","0","0","3000000","200000","80000","80000","120000","0"
"func@0x1400b5f40","7600000","46000000","34000000","0","0","1400000","0","0","0","0","0"
"func@0x1400847c0","7200000","48000000","20000000","0","0","0","0","0","0","0","0"
"memset","7200000","4000000","6000000","0","0","1200000","0","0","40000","120000","0"
"func@0x14042f9c0","7000000","6000000","6000000","0","0","400000","0","0","0","0","0"
"func@0x1c0001240","6400000","4000000","2000000","0","0","600000","200000","0","40000","0","80000"
"func@0x14017cc10","6200000","30000000","20000000","0","0","2600000","600000","160000","120000","120000","0"
"func@0x1400c99a0","6000000","22000000","28000000","20000","0","1600000","600000","40000","320000","240000","0"
"KeAndGroupAffinityEx","5800000","18000000","16000000","0","0","1400000","0","0","0","0","0"
"func@0x1400bed60","5600000","18000000","16000000","20000","0","800000","200000","0","40000","80000","0"
"func@0x1400c95b0","5600000","6000000","14000000","0","0","1400000","0","0","320000","120000","40000"
"func@0x140099030","5600000","8000000","10000000","0","0","1000000","0","80000","0","0","0"
"KeAndAffinityEx","5400000","10000000","8000000","0","0","800000","0","0","160000","120000","0"
"KeStallExecutionProcessor","5400000","34000000","24000000","0","0","1200000","0","0","0","0","0"
"func@0x1402306ce","5200000","32000000","20000000","0","200000","1200000","0","0","0","0","0"
"KeQueryPerformanceCounter","5200000","12000000","10000000","0","0","800000","0","0","200000","40000","0"
"func@0x140070e1d","5200000","20000000","10000000","0","0","2000000","0","0","0","0","0"
"func@0x1400e2864","4800000","44000000","36000000","0","0","400000","0","0","0","0","0"
"KeSetEvent","4600000","16000000","18000000","0","0","1200000","0","0","0","0","40000"
"KeAcquireInStackQueuedSpinLock","4400000","14000000","16000000","20000","0","1600000","200000","0","0","40000","0"
"func@0x14006cc30","4400000","0","2000000","0","0","400000","0","0","0","0","0"
"HalRequestIpi","4400000","12000000","10000000","0","0","600000","200000","40000","200000","80000","0"
"func@0x14000a9d0","4400000","10000000","8000000","0","0","0","0","0","40000","0","0"
"func@0x1400b5830","4200000","2000000","4000000","0","0","600000","0","0","0","0","0"
"func@0x1400c51c0","4200000","20000000","18000000","0","0","0","200000","40000","80000","160000","0"
"KeReleaseInStackQueuedSpinLock","4200000","6000000","6000000","0","0","1800000","0","40000","0","80000","0"
"func@0x1400c92a2","4200000","20000000","12000000","20000","0","1400000","200000","80000","120000","40000","0"
"memcpy_s","4000000","10000000","2000000","0","0","0","0","0","0","0","0"
"func@0x140139980","3800000","8000000","14000000","0","0","400000","200000","0","120000","280000","80000"
"func@0x1400cf960","3800000","10000000","8000000","40000","0","1400000","0","40000","40000","40000","0"
"func@0x1400cf760","3600000","50000000","56000000","0","0","800000","0","0","0","0","0"
"func@0x1400c6960","3600000","10000000","10000000","0","0","0","200000","0","240000","0","40000"
"func@0x1400b51f0","3600000","2000000","0","0","0","400000","0","0","0","0","0"
"func@0x140099520","3400000","4000000","2000000","0","0","800000","0","0","0","0","40000"
"HalSendSoftwareInterrupt","3400000","10000000","12000000","40000","0","1800000","200000","240000","40000","40000","0"
"func@0x140006340","3200000","58000000","40000000","40000","0","1000000","400000","40000","360000","0","160000"
"func@0x14017d046","3200000","48000000","22000000","120000","0","1200000","0","80000","80000","40000","0"
"func@0x1400e26f8","3200000","2000000","0","0","0","400000","200000","80000","0","0","0"
"KeLowerIrql","3200000","6000000","6000000","0","0","400000","0","0","0","0","0"
"KeGetProcessorIndexFromNumber","3200000","16000000","10000000","0","0","1200000","200000","40000","0","80000","0"
"HmgNextOwned","3200000","0","2000000","0","0","0","0","40000","0","40000","0"
"func@0x1400c47d0","3000000","4000000","8000000","0","0","1400000","0","0","0","40000","40000"
"func@0x1400bb400","2800000","16000000","4000000","20000","0","600000","0","40000","40000","0","0"
"func@0x1400992bc","2800000","20000000","16000000","0","0","200000","0","0","0","0","0"
"KfRaiseIrql","2800000","14000000","10000000","0","0","1600000","0","0","0","0","0"
"func@0x140206c08","2800000","12000000","12000000","120000","0","1200000","200000","40000","200000","40000","0"
"ExpInterlockedPushEntrySList","2800000","8000000","6000000","0","0","1000000","0","0","40000","0","0"
"func@0x1400d9d20","2600000","2000000","6000000","0","0","0","200000","0","0","0","0"
"func@0x1c0001110","2600000","10000000","6000000","0","0","1000000","0","0","0","0","0"
"func@0x1400b3f00","2600000","16000000","6000000","0","0","800000","0","40000","0","0","0"
"func@0x1400c4b10","2600000","18000000","16000000","40000","0","200000","600000","40000","80000","40000","40000"
"func@0x1401baac9","2600000","10000000","6000000","0","0","1000000","0","40000","360000","160000","0"
"func@0x1c0008da0","2600000","8000000","10000000","20000","0","2000000","0","0","0","0","0"
"KeReleaseInStackQueuedSpinLockFromDpcLevel","2600000","14000000","12000000","0","0","1800000","0","40000","0","0","0"
"func@0x1c005f6e0","2600000","2000000","2000000","0","0","0","0","0","0","0","0"
"func@0x14017cec7","2400000","10000000","6000000","40000","0","800000","0","80000","40000","0","0"
"func@0x1400b5da0","2400000","2000000","2000000","0","0","800000","0","0","0","0","0"
"RtlGetNextExpiredTimerWheelEntry","2400000","4000000","4000000","0","0","1000000","0","0","0","0","0"
"func@0x1400974be","2400000","36000000","22000000","0","0","600000","0","0","0","0","0"
"func@0x140098b60","2400000","12000000","8000000","0","0","1000000","200000","40000","0","0","0"
"func@0x18001f1e0","2400000","4000000","0","0","0","400000","0","0","0","0","0"
"func@0x1400e2660","2400000","0","4000000","0","0","1600000","0","0","0","0","0"
"func@0x1401578cc","2400000","8000000","2000000","0","0","800000","0","0","40000","0","0"
"func@0x14009567f","2200000","34000000","50000000","0","0","400000","0","0","0","0","0"
"func@0x1c0003470","2200000","20000000","30000000","60000","0","1000000","0","120000","120000","320000","0"
"func@0x140212d70","2200000","14000000","2000000","0","0","200000","0","80000","0","0","0"
"func@0x140213c30","2200000","14000000","4000000","0","0","400000","0","40000","0","0","0"
"func@0x1c0004b50","2200000","16000000","32000000","40000","0","200000","0","0","120000","40000","80000"
"func@0x140009fd0","2200000","16000000","10000000","0","0","600000","0","0","0","0","0"
"func@0x14006bb6f","2000000","2000000","2000000","0","0","400000","0","0","0","40000","0"
"func@0x1c0008252","2000000","18000000","4000000","0","0","200000","200000","80000","40000","80000","40000"
"func@0x1400be9b0","2000000","8000000","6000000","20000","0","600000","0","0","0","0","0"
"func@0x14017a267","2000000","48000000","24000000","20000","0","200000","0","200000","160000","0","0"
"func@0x1c00183c0","2000000","6000000","4000000","0","0","0","0","0","0","0","0"
"func@0x14006ea50","1800000","0","2000000","0","0","400000","0","0","0","40000","0"
"func@0x14010bbf0","1800000","4000000","4000000","0","0","200000","0","0","0","0","0"
"func@0x14017e600","1600000","2000000","2000000","0","0","400000","0","0","0","40000","0"
"KeAcquireInStackQueuedSpinLockAtDpcLevel","1600000","16000000","18000000","0","200000","0","200000","40000","0","0","0"
"func@0x1402053a0","1600000","0","8000000","0","0","800000","0","0","0","0","0"
"KeEnumerateNextProcessor","1600000","4000000","14000000","0","0","200000","0","0","0","0","0"
"KeInitializeEnumerationContext","1600000","2000000","0","0","0","400000","0","0","0","0","0"
"func@0x140099bc0","1600000","6000000","4000000","20000","0","600000","0","0","80000","0","0"
"func@0x140006f20","1600000","22000000","16000000","60000","0","600000","0","40000","480000","0","320000"
"func@0x1400061b0","1600000","4000000","6000000","0","0","800000","200000","0","0","0","0"
"func@0x14006b8d0","1600000","0","2000000","0","0","0","0","0","40000","0","0"
"func@0x1403270f0","1400000","6000000","2000000","0","0","800000","0","0","0","0","0"
"func@0x1c0005730","1400000","0","6000000","0","0","200000","0","0","0","0","0"
"func@0x1c0001220","1400000","8000000","6000000","0","0","0","200000","40000","0","0","0"
"KeIsEmptyAffinityEx","1400000","10000000","4000000","0","0","200000","0","0","0","80000","0"
"func@0x140099fa0","1400000","2000000","0","0","0","400000","0","0","0","0","0"
"SwitchToThread","1400000","66000000","40000000","0","0","200000","0","0","0","0","0"
"func@0x1400c61b0","1400000","4000000","0","20000","0","600000","0","0","0","0","80000"
"func@0x14031bf50","1400000","8000000","4000000","0","0","800000","0","80000","0","0","0"
"KeAcquireSpinLockRaiseToDpc","1200000","20000000","10000000","0","0","600000","0","0","40000","80000","0"
"func@0x140099470","1200000","0","0","0","0","0","200000","0","0","0","0"
"func@0x1c005f5c0","1200000","0","0","0","0","0","0","40000","0","0","0"
"func@0x140323e60","1200000","2000000","2000000","0","0","200000","0","0","0","0","0"
"func@0x1c0004eb0","1200000","2000000","0","0","0","400000","0","0","0","0","0"
"func@0x1401e1980","1200000","8000000","22000000","0","0","0","0","0","0","0","80000"
"func@0x1c000a3da","1200000","0","0","0","0","400000","0","80000","0","0","0"
"func@0x140158128","1200000","2000000","4000000","0","0","0","0","0","0","0","0"
"func@0x1402156a0","1200000","6000000","4000000","0","0","200000","200000","0","0","0","0"
"func@0x14008ccf0","1200000","8000000","0","20000","0","200000","0","0","0","0","0"
"func@0x1402064f0","1200000","6000000","4000000","0","0","400000","0","40000","40000","0","0"
"func@0x1401df4f0","1200000","4000000","4000000","0","0","0","0","0","0","0","0"
"func@0x1401d69f0","1200000","2000000","4000000","0","0","200000","0","0","0","0","0"
"func@0x1400986c0","1000000","2000000","6000000","0","0","600000","0","0","0","0","0"
"func@0x1400d2490","1000000","0","0","0","0","0","0","0","0","0","0"
"func@0x1400d6c44","1000000","0","4000000","0","0","200000","0","0","0","0","0"
"func@0x14007c02a","1000000","0","6000000","0","0","200000","0","0","0","40000","40000"
"func@0x140176ff0","1000000","16000000","32000000","0","0","400000","200000","40000","40000","40000","0"
"func@0x140320f0f","1000000","2000000","0","0","0","200000","0","0","0","0","0"
"func@0x1400a3130","1000000","4000000","6000000","0","0","400000","0","0","0","0","0"
"ExFreePoolWithTag","1000000","0","2000000","0","0","0","0","0","0","40000","0"
"KeReleaseSpinLock","1000000","10000000","10000000","0","0","200000","0","0","0","0","0"
"func@0x1400a3200","1000000","0","2000000","0","0","400000","0","0","0","0","0"
"func@0x1400441c0","1000000","2000000","4000000","0","0","200000","0","0","80000","0","0"
"func@0x14022f0c0","1000000","0","0","0","0","0","0","0","0","0","0"
"func@0x14031b0b0","1000000","2000000","0","0","0","400000","0","0","0","0","0"
"func@0x1400c4720","1000000","2000000","6000000","0","0","200000","0","0","0","0","0"
"func@0x14003fa70","1000000","0","0","0","0","400000","0","0","0","0","0"
"func@0x1400cec10","1000000","14000000","8000000","0","0","0","0","40000","40000","40000","0"
"func@0x1400d5d80","1000000","0","2000000","0","0","200000","0","0","0","0","0"
"func@0x18000f350","1000000","0","0","0","0","0","0","0","0","0","0"
"func@0x1400bbb60","1000000","8000000","12000000","20000","0","0","0","0","0","0","0"
"func@0x1c0004d10","800000","2000000","0","0","0","800000","0","0","0","0","0"
"ExAcquireSpinLockExclusive","800000","0","0","0","0","400000","0","0","0","0","0"
"func@0x1400c1760","800000","8000000","2000000","20000","0","0","0","0","0","0","80000"
"func@0x1400d62a0","800000","12000000","4000000","0","0","1000000","0","0","80000","0","80000"
"RtlGetNextExpirationTimerWheelTick","800000","0","0","0","0","0","0","40000","40000","0","40000"
"KeComplementAffinityEx","800000","0","2000000","0","0","0","0","0","40000","0","0"
"func@0x140050920","800000","14000000","4000000","60000","0","200000","0","0","80000","40000","0"
"func@0x1402247c0","800000","2000000","0","0","0","200000","0","0","0","0","0"
"qsort","800000","0","4000000","0","0","400000","0","0","0","0","0"
"func@0x140098220","800000","4000000","4000000","0","0","0","0","0","40000","40000","0"
"func@0x140325590","800000","0","0","0","0","0","0","0","0","0","0"
"func@0x1400cf800","800000","2000000","0","0","0","0","0","0","0","0","0"
"func@0x1400e5b04","800000","10000000","6000000","0","0","200000","0","0","0","0","0"
"func@0x1400b5300","800000","0","2000000","0","0","800000","0","40000","0","0","0"
"func@0x1401bc5f0","800000","8000000","0","0","0","0","0","0","0","40000","40000"
"func@0x1c000a5f9","800000","2000000","0","0","0","200000","0","0","40000","0","0"
"WdLogNewEntry5_WdEvent","800000","2000000","0","0","0","400000","200000","0","0","40000","0"
"func@0x140069910","800000","0","2000000","0","0","0","0","0","0","0","0"
"func@0x14000c5d0","800000","6000000","2000000","0","0","0","0","0","0","0","0"
"func@0x1401df660","800000","16000000","6000000","0","0","0","0","0","40000","0","0"
"func@0x1c000b3c0","600000","2000000","2000000","0","0","200000","0","0","0","0","0"
"func@0x1400d76bc","600000","4000000","4000000","0","0","0","0","0","40000","0","0"
"func@0x1402582c0","600000","2000000","0","0","0","200000","0","0","0","0","0"
"func@0x1400acd10","600000","0","2000000","0","0","200000","0","0","0","0","0"
"func@0x1401e1f90","600000","0","0","0","0","0","0","0","0","0","0"
"func@0x1400998d0","600000","0","2000000","0","0","600000","0","0","0","0","0"
"func@0x1400c64c0","600000","2000000","0","0","0","0","200000","0","40000","0","40000"
"func@0x140320c00","600000","8000000","4000000","0","200000","0","0","40000","0","0","0"
"func@0x140233780","600000","0","2000000","0","0","200000","0","0","0","0","0"
"func@0x14007bdb0","600000","0","0","0","0","200000","0","0","0","0","0"
"func@0x14006d7f0","600000","0","2000000","0","0","200000","0","0","0","0","0"
"func@0x14009ad20","600000","0","4000000","0","0","200000","0","0","40000","0","0"
"func@0x1401477f0","600000","8000000","6000000","20000","0","0","0","0","0","0","0"
"func@0x1400072a0","600000","8000000","4000000","0","0","0","200000","0","0","80000","0"
"func@0x1400d2bd0","600000","0","0","0","0","0","0","0","0","0","0"
"func@0x14008c4c0","600000","0","2000000","0","0","0","0","0","0","0","0"
"func@0x14007ac60","600000","0","0","0","0","200000","0","0","0","0","0"
"KeInsertQueueDpc","600000","2000000","4000000","0","0","0","0","0","0","0","0"
"func@0x1c0006ac3","600000","2000000","0","0","0","200000","0","40000","120000","0","40000"
"func@0x140012b80","600000","4000000","2000000","0","0","0","0","40000","40000","40000","0"
"func@0x140037ee0","600000","2000000","2000000","0","0","800000","0","0","0","0","0"
"func@0x140050bb0","600000","4000000","0","0","0","0","0","0","0","0","0"
"func@0x14038c310","600000","2000000","4000000","0","0","0","0","0","0","0","0"
"func@0x1c00065b0","600000","4000000","2000000","0","0","200000","0","40000","0","0","0"
"func@0x140147990","600000","6000000","4000000","0","0","200000","200000","40000","0","0","0"
"func@0x1c000b450","600000","6000000","0","0","0","400000","0","0","40000","0","0"
"RtlRbRemoveNode","600000","0","2000000","0","0","0","0","0","0","0","0"
"func@0x1400b1140","600000","6000000","2000000","0","0","0","0","0","0","0","0"
"HalAcquireDisplayOwnership","600000","2000000","2000000","0","0","0","200000","0","80000","120000","0"
"KePulseEvent","600000","6000000","0","40000","0","200000","0","0","0","0","0"
"func@0x1c000b5b0","600000","2000000","0","0","0","400000","200000","0","80000","0","0"
"func@0x1c0008120","600000","0","2000000","0","0","0","0","0","0","0","0"
"func@0x140207960","600000","0","2000000","0","0","200000","0","0","0","0","0"
"KeInsertQueue","600000","6000000","0","0","0","0","200000","0","0","0","40000"
"func@0x140096be0","600000","0","2000000","0","0","0","0","0","0","0","0"
"func@0x1c0008b30","600000","22000000","16000000","240000","0","200000","0","40000","40000","0","0"
"func@0x1400621a0","400000","2000000","4000000","0","0","0","0","0","0","0","40000"
"func@0x1c0097a20","400000","2000000","0","0","0","0","0","0","0","0","0"
"func@0x140382390","400000","4000000","0","0","0","0","0","0","0","0","0"
"func@0x1403797a0","400000","0","0","0","0","0","0","0","0","0","0"
"func@0x1400d2f54","400000","0","0","0","0","0","0","0","0","0","0"
"func@0x1400cf4e0","400000","0","0","0","0","0","0","0","0","0","0"
"func@0x1c000c710","400000","12000000","0","40000","0","0","0","0","80000","0","0"
"func@0x14006d96d","400000","2000000","0","0","0","0","0","0","0","0","0"
"func@0x140035d10","400000","0","0","0","0","0","0","0","0","0","0"
"func@0x140060e93","400000","4000000","2000000","0","0","200000","0","0","40000","0","0"
"func@0x1c00014f0","400000","34000000","12000000","0","0","200000","0","0","40000","80000","0"
"func@0x1c0015620","400000","0","0","0","0","400000","0","0","0","0","0"
"func@0x140158178","400000","0","0","0","0","0","0","0","0","0","0"
"func@0x140324bb0","400000","0","2000000","0","0","0","0","0","0","0","0"
"func@0x1400685f0","400000","0","0","0","0","200000","0","0","0","0","0"
"func@0x1c001fa94","400000","0","2000000","0","0","0","0","0","0","0","0"
"func@0x1400baf10","400000","0","0","0","0","0","0","0","0","0","0"
"InterlockedPushListSList","400000","6000000","6000000","0","0","200000","0","0","0","0","0"
"func@0x1400cf140","400000","12000000","2000000","0","0","600000","0","40000","0","0","0"
"func@0x1402b22c0","400000","0","4000000","0","0","0","0","0","0","0","0"
"func@0x1c00090a0","400000","0","2000000","0","0","0","0","0","0","0","0"
"func@0x1400549f0","400000","0","0","0","0","0","0","0","0","0","0"
"func@0x1401e1cc0","400000","2000000","6000000","0","0","0","0","0","0","0","0"
"func@0x14017cb30","400000","0","0","0","0","0","200000","0","0","0","0"
"func@0x1c0001420","400000","0","0","0","0","0","0","0","0","0","0"
"func@0x1c0011a70","400000","0","2000000","0","0","200000","0","0","0","0","0"
"func@0x1400d6d60","400000","0","0","0","0","0","0","0","0","0","0"
"func@0x1c0001314","400000","0","0","0","0","0","0","0","0","0","0"
"func@0x1c0016d30","400000","54000000","72000000","0","0","0","0","0","0","0","0"
"func@0x140095440","400000","2000000","0","0","0","0","0","0","0","0","0"
"func@0x140319400","400000","0","0","0","0","0","0","0","0","0","0"
"func@0x1c0004d70","400000","300000000","210000000","0","0","0","0","0","0","0","0"
"func@0x1400d73b0","400000","2000000","2000000","0","0","600000","0","0","0","0","0"
"DpiGetDxgAdapter","400000","8000000","8000000","0","0","0","0","0","0","0","0"
"func@0x14019c015","400000","2000000","0","0","0","0","0","0","0","0","0"
"func@0x1400622a0","400000","0","0","0","0","0","0","0","0","0","0"
"func@0x1c0001330","400000","32000000","32000000","0","0","400000","0","0","0","40000","40000"
"func@0x1c001d364","400000","2000000","0","0","0","0","0","0","0","0","0"
"func@0x1c0003bd0","400000","12000000","4000000","20000","0","0","0","0","0","0","40000"
"KeSubtractAffinityEx","400000","0","2000000","0","0","0","0","0","0","0","0"
"memset","400000","0","0","0","0","0","0","0","0","0","0"
"func@0x140214210","400000","0","0","0","0","200000","0","0","0","0","0"
"func@0x1c0004850","400000","0","10000000","0","0","0","0","0","0","0","40000"
"func@0x1c0029efc","400000","0","2000000","0","0","0","0","0","0","0","0"
"func@0x1c0004764","400000","0","0","0","0","0","0","0","0","0","0"
"func@0x140213b90","400000","0","0","0","0","0","0","0","0","0","0"
