function,Timer,DC accesses,DC misses,CPU clocks,Ret inst,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses,time,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_Avg,time_min,time_max
ikj_1050,628.67,698750000.00,2666666.67,903750000.00,916416666.67,133333.33,516666.67,15750000.00,433333.33,0.6687,1725200000.0000,835400000.0000,651600000.0000,13333.3333,0.0000,363273333.3333,33906666.6667,27482666.6667,5062666.6667,4288000.0000,769333.3333,0.2702,0.2160,0.3420
ikj_1100,662.33,675250000.00,3200000.00,968250000.00,1112500000.00,83333.33,575000.00,17583333.33,1183333.33,0.6840,1979466666.6667,903400000.0000,704200000.0000,0.0000,0.0000,391193333.3333,47453333.3333,41554666.6667,7792000.0000,5960000.0000,1833333.3333,0.2781,0.2250,0.3540
ikj_1150,836.33,907166666.67,3475000.00,1214916666.67,1192416666.67,100000.00,716666.67,23400000.00,1183333.33,0.9053,2277200000.0000,1172466666.6667,904400000.0000,26666.6667,0.0000,484240000.0000,43953333.3333,35512000.0000,6897333.3333,5052000.0000,1845333.3333,0.3612,0.2970,0.4480
ikj_1200,870.67,852583333.33,4241666.67,1302666666.67,1407416666.67,125000.00,766666.67,24233333.33,1766666.67,0.9327,2499800000.0000,1241466666.6667,956333333.3333,120000.0000,0.0000,488586666.6667,61433333.3333,51682666.6667,10733333.3333,7108000.0000,3636000.0000,0.3843,0.3210,0.4620
ikj_1250,1323.00,1327000000.00,5191666.67,2097333333.33,1737333333.33,58333.33,841666.67,26533333.33,6333333.33,1.3983,2847000000.0000,1611666666.6667,1236666666.6667,426666.6667,0.0000,575126666.6667,54293333.3333,45076000.0000,9874666.6667,5905333.3333,3984000.0000,0.4965,0.4060,0.5920
ikj_1300,1092.67,773916666.67,3758333.33,1638833333.33,1260583333.33,16666.67,683333.33,33600000.00,12183333.33,1.7017,3205933333.3333,1701800000.0000,1304666666.6667,686666.6667,0.0000,637240000.0000,79053333.3333,63568000.0000,15473333.3333,8522666.6667,6960000.0000,0.5179,0.4340,0.6030
ikj_1350,1445.00,1080166666.67,4208333.33,2134000000.00,1395666666.67,100000.00,791666.67,44900000.00,22983333.33,2.2333,3614466666.6667,2145866666.6667,1636800000.0000,1693333.3333,0.0000,736560000.0000,68300000.0000,55437333.3333,13678666.6667,6893333.3333,6757333.3333,0.6533,0.5560,0.7790
ikj_1400,1469.00,926500000.00,4441666.67,2180333333.33,1468083333.33,75000.00,958333.33,61333333.33,37350000.00,2.3817,4025733333.3333,2241466666.6667,1711333333.3333,1440000.0000,6666.6667,803306666.6667,99893333.3333,80728000.0000,19594666.6667,8034666.6667,11570666.6667,0.6877,0.5780,0.7910
ikj_1450,1689.67,1302833333.33,4566666.67,2599083333.33,1680916666.67,75000.00,1016666.67,69450000.00,49483333.33,2.7650,4499466666.6667,2729600000.0000,2081266666.6667,2093333.3333,0.0000,921740000.0000,85693333.3333,68797333.3333,17358666.6667,6604000.0000,10726666.6667,0.8331,0.7080,0.9470
ikj_1500,1881.33,1090166666.67,4958333.33,2628500000.00,1794000000.00,116666.67,1158333.33,119583333.33,71933333.33,2.9097,4975800000.0000,2831866666.6667,2157400000.0000,1533333.3333,13333.3333,985480000.0000,122600000.0000,97005333.3333,27848000.0000,9150666.6667,18686666.6667,0.8607,0.7260,0.9930
ijk_ikj_200_50,2.67,4083333.33,8333.33,4666666.67,10333333.33,0.00,0.00,50000.00,0.00,0.0043,42800000.0000,14466666.6667,12466666.6667,0.0000,0.0000,19013333.3333,53333.3333,17333.3333,4000.0000,1333.3333,1333.3333,0.0016,0.0010,0.0020
ijk_ikj_250_50,6.00,7333333.33,25000.00,8333333.33,17166666.67,0.00,0.00,66666.67,33333.33,0.0083,83800000.0000,27266666.6667,22933333.3333,0.0000,0.0000,30206666.6667,46666.6667,50666.6667,10666.6667,9333.3333,0.0000,0.0037,0.0020,0.0060
ijk_ikj_300_50,10.00,14916666.67,33333.33,16666666.67,33916666.67,0.00,0.00,33333.33,0.00,0.0143,145733333.3333,50866666.6667,41600000.0000,0.0000,0.0000,56393333.3333,146666.6667,102666.6667,17333.3333,20000.0000,2666.6667,0.0062,0.0040,0.0090
ijk_ikj_300_60,10.00,9333333.33,41666.67,11166666.67,24333333.33,0.00,8333.33,133333.33,50000.00,0.0140,138400000.0000,49666666.6667,40400000.0000,0.0000,6666.6667,59580000.0000,220000.0000,136000.0000,10666.6667,10666.6667,0.0000,0.0062,0.0040,0.0090
ijk_ikj_300_75,9.67,13750000.00,33333.33,13666666.67,26083333.33,0.00,0.00,33333.33,66666.67,0.0147,140600000.0000,50666666.6667,41000000.0000,0.0000,6666.6667,50926666.6667,433333.3333,396000.0000,17333.3333,22666.6667,2666.6667,0.0051,0.0040,0.0060
ijk_ikj_350_50,15.67,18000000.00,66666.67,18916666.67,40416666.67,8333.33,8333.33,133333.33,16666.67,0.0220,230933333.3333,77400000.0000,63266666.6667,6666.6667,0.0000,94520000.0000,246666.6667,162666.6667,37333.3333,41333.3333,1333.3333,0.0086,0.0060,0.0110
ijk_ikj_350_70,15.67,17916666.67,33333.33,18750000.00,39916666.67,0.00,0.00,66666.67,0.00,0.0220,222933333.3333,74600000.0000,61000000.0000,0.0000,0.0000,96940000.0000,540000.0000,380000.0000,37333.3333,17333.3333,1333.3333,0.0098,0.0070,0.0150
ijk_ikj_400_50,23.00,29083333.33,100000.00,31416666.67,66583333.33,8333.33,0.00,166666.67,16666.67,0.0333,344466666.6667,110266666.6667,90533333.3333,0.0000,0.0000,110180000.0000,273333.3333,256000.0000,69333.3333,62666.6667,1333.3333,0.0111,0.0070,0.0150
