function,Timer,DC accesses,DC misses,CPU clocks,Ret inst,DTLB L1M L2H,DTLB L1M L2M,DRAM accesses,L3 misses,time,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time_Avg,time_min,time_max
ijk_ikj_900_60,359.00,449166666.67,1358333.33,541666666.67,1114333333.33,5016666.67,108333.33,1666666.67,466666.67,0.3850,3735066666.6667,1110866666.6667,918066666.6667,33333.3333,0.0000,1453573333.3333,3993333.3333,2924000.0000,600000.0000,556000.0000,30666.6667,0.1085,0.0790,0.1590
ijk_ikj_900_75,393.00,562583333.33,1241666.67,547333333.33,973083333.33,4358333.33,75000.00,1716666.67,733333.33,0.4153,3795066666.6667,1139600000.0000,942400000.0000,20000.0000,0.0000,1387073333.3333,11580000.0000,10158666.6667,620000.0000,554666.6667,29333.3333,0.1063,0.0780,0.1530
ijk_ikj_900_90,349.33,478250000.00,1758333.33,496250000.00,946416666.67,3575000.00,58333.33,1633333.33,550000.00,0.3667,3721133333.3333,1180666666.6667,975800000.0000,26666.6667,0.0000,1285586666.6667,27073333.3333,27024000.0000,594666.6667,544000.0000,42666.6667,0.1245,0.0970,0.1730
ijk_ikj_900_100,353.00,398500000.00,4258333.33,509166666.67,952500000.00,3208333.33,66666.67,3633333.33,750000.00,0.3720,3626133333.3333,1200333333.3333,993000000.0000,33333.3333,0.0000,1277260000.0000,28753333.3333,27514666.6667,748000.0000,689333.3333,52000.0000,0.1261,0.1080,0.1800
ijk_ikj_900_150,412.33,440000000.00,5558333.33,528750000.00,782583333.33,2250000.00,50000.00,13083333.33,600000.00,0.4453,3618200000.0000,1200733333.3333,992066666.6667,13333.3333,0.0000,1227426666.6667,24100000.0000,23673333.3333,2640000.0000,2564000.0000,52000.0000,0.1373,0.1110,0.1650
ijk_ikj_900_180,331.00,349833333.33,5016666.67,455583333.33,746166666.67,1700000.00,25000.00,10266666.67,583333.33,0.3853,3554733333.3333,1235266666.6667,1021200000.0000,6666.6667,0.0000,1266706666.6667,24380000.0000,20002666.6667,4505333.3333,4440000.0000,58666.6667,0.1574,0.1330,0.1910
ijk_ikj_900_225,428.00,527250000.00,4491666.67,582333333.33,791250000.00,1500000.00,16666.67,12516666.67,533333.33,0.4503,3559400000.0000,1218866666.6667,1007400000.0000,6666.6667,0.0000,1252713333.3333,23920000.0000,18654666.6667,5834666.6667,5765333.3333,61333.3333,0.1111,0.0850,0.1490
ijk_ikj_950_50,467.00,621583333.33,2033333.33,689083333.33,1321750000.00,7400000.00,200000.00,2750000.00,1083333.33,0.4900,4621200000.0000,1278933333.3333,1058400000.0000,46666.6667,0.0000,1723733333.3333,2793333.3333,1746666.6667,801333.3333,749333.3333,33333.3333,0.1248,0.0930,0.1530
ijk_ikj_950_95,487.33,702583333.33,3050000.00,690416666.67,1212250000.00,4225000.00,100000.00,2883333.33,933333.33,0.5083,4380866666.6667,1415200000.0000,1168800000.0000,26666.6667,0.0000,1514013333.3333,34526666.6667,34260000.0000,713333.3333,652000.0000,48000.0000,0.1469,0.1170,0.1940
ijk_ikj_950_190,494.33,528083333.33,5808333.33,635666666.67,951416666.67,2308333.33,25000.00,16766666.67,1000000.00,0.5130,4217866666.6667,1449866666.6667,1196400000.0000,20000.0000,0.0000,1474406666.6667,28320000.0000,23254666.6667,5698666.6667,5601333.3333,77333.3333,0.1856,0.1570,0.2390
ijk_ikj_1000_50,548.33,725583333.33,2583333.33,818750000.00,1553583333.33,9133333.33,241666.67,3000000.00,1083333.33,0.5750,5390266666.6667,1515400000.0000,1254000000.0000,66666.6667,0.0000,2043553333.3333,4000000.0000,2732000.0000,926666.6667,857333.3333,48000.0000,0.1384,0.1040,0.1750
ijk_ikj_1000_100,544.33,567333333.33,8366666.67,778666666.67,1322333333.33,4900000.00,66666.67,7816666.67,1033333.33,0.5723,4974066666.6667,1758200000.0000,1454400000.0000,26666.6667,0.0000,1741260000.0000,35593333.3333,34986666.6667,861333.3333,777333.3333,65333.3333,0.1841,0.1470,0.2370
ijk_ikj_1000_125,677.00,812416666.67,10000000.00,966583333.33,1297833333.33,4000000.00,58333.33,17183333.33,1250000.00,0.7127,4987466666.6667,1658333333.3333,1370066666.6667,20000.0000,0.0000,1695040000.0000,36960000.0000,37580000.0000,1980000.0000,1872000.0000,70666.6667,0.1574,0.1150,0.2070
ijk_ikj_1000_200,477.33,471000000.00,6608333.33,622083333.33,991750000.00,2550000.00,58333.33,18650000.00,1133333.33,0.5107,4863066666.6667,1677266666.6667,1384933333.3333,20000.0000,0.0000,1722980000.0000,32746666.6667,26436000.0000,6754666.6667,6665333.3333,85333.3333,0.2162,0.1840,0.2560
ijk_ikj_1000_250,525.33,627666666.67,5866666.67,716916666.67,1131916666.67,2066666.67,33333.33,15900000.00,850000.00,0.5440,4878666666.6667,1684000000.0000,1391866666.6667,33333.3333,0.0000,1723906666.6667,32080000.0000,24973333.3333,8052000.0000,7969333.3333,72000.0000,0.1515,0.1160,0.1990
ijk_ikj_1050_50,500.00,658416666.67,2708333.33,727500000.00,1307083333.33,9516666.67,266666.67,2050000.00,766666.67,0.6740,6239466666.6667,1770666666.6667,1463733333.3333,106666.6667,0.0000,2326606666.6667,4980000.0000,3520000.0000,1118666.6667,1044000.0000,52000.0000,0.1733,0.1370,0.2340
ijk_ikj_1050_70,560.33,758666666.67,3341666.67,809916666.67,1543750000.00,7608333.33,166666.67,3133333.33,1100000.00,0.6637,6026066666.6667,1793866666.6667,1483000000.0000,20000.0000,0.0000,2267633333.3333,12940000.0000,10418666.6667,884000.0000,778666.6667,68000.0000,0.1759,0.1310,0.2340
ijk_ikj_1050_75,578.33,864916666.67,3575000.00,860500000.00,1443250000.00,7208333.33,200000.00,3150000.00,933333.33,0.6793,6025800000.0000,1820466666.6667,1503333333.3333,60000.0000,0.0000,2193093333.3333,19286666.6667,16996000.0000,982666.6667,866666.6667,80000.0000,0.1847,0.1420,0.2470
ijk_ikj_1050_105,714.67,838666666.67,10475000.00,1039166666.67,1320666666.67,5391666.67,133333.33,13783333.33,916666.67,0.8200,5826733333.3333,1926266666.6667,1592066666.6667,46666.6667,6666.6667,2007406666.6667,46986666.6667,45913333.3333,1462666.6667,1354666.6667,93333.3333,0.2012,0.1580,0.2970
ijk_ikj_1050_150,639.33,712083333.33,9250000.00,879166666.67,1265583333.33,3866666.67,100000.00,18250000.00,1050000.00,0.7317,5745333333.3333,1917133333.3333,1585733333.3333,46666.6667,6666.6667,2033713333.3333,40446666.6667,36686666.6667,3898666.6667,3809333.3333,77333.3333,0.1864,0.1510,0.2220
ijk_ikj_1050_175,744.33,909750000.00,8925000.00,1049250000.00,1447083333.33,3516666.67,83333.33,19483333.33,1150000.00,0.7853,5725600000.0000,1904400000.0000,1575466666.6667,53333.3333,6666.6667,2011000000.0000,39573333.3333,34610666.6667,5898666.6667,5780000.0000,96000.0000,0.2186,0.1760,0.2640
ijk_ikj_1050_210,645.33,756833333.33,7950000.00,903083333.33,1355416666.67,2841666.67,50000.00,19500000.00,983333.33,0.6700,5675133333.3333,1935533333.3333,1599000000.0000,13333.3333,0.0000,1984426666.6667,38426666.6667,30586666.6667,8745333.3333,8629333.3333,97333.3333,0.2445,0.2130,0.2840
ijk_ikj_1100_50,503.00,690250000.00,1975000.00,744500000.00,1329916666.67,10216666.67,241666.67,1633333.33,966666.67,0.7507,7173800000.0000,2015066666.6667,1667400000.0000,166666.6667,0.0000,2687513333.3333,4786666.6667,3040000.0000,1240000.0000,1146666.6667,76000.0000,0.2002,0.1500,0.2600
ijk_ikj_1100_55,831.00,1209500000.00,3008333.33,1231583333.33,2267583333.33,12375000.00,333333.33,4016666.67,1533333.33,0.8853,7149866666.6667,2033933333.3333,1679733333.3333,120000.0000,0.0000,2707373333.3333,5666666.6667,3944000.0000,1242666.6667,1128000.0000,93333.3333,0.1900,0.1390,0.2480
ijk_ikj_1100_100,581.00,696166666.67,4550000.00,848833333.33,1648833333.33,6825000.00,141666.67,3866666.67,1100000.00,0.6510,6621666666.6667,2154133333.3333,1782200000.0000,66666.6667,0.0000,2289933333.3333,53786666.6667,53060000.0000,1154666.6667,1008000.0000,102666.6667,0.2099,0.1630,0.2670
ijk_ikj_1100_110,803.67,945000000.00,10591666.67,1170416666.67,1819000000.00,6558333.33,150000.00,7766666.67,1583333.33,0.8450,6708800000.0000,2208933333.3333,1825133333.3333,80000.0000,0.0000,2314226666.6667,51613333.3333,51322666.6667,1701333.3333,1536000.0000,117333.3333,0.2259,0.1820,0.2830
ijk_ikj_1100_220,601.33,662500000.00,8283333.33,854333333.33,1453583333.33,3091666.67,83333.33,14916666.67,700000.00,0.6790,6459266666.6667,2219933333.3333,1831733333.3333,33333.3333,0.0000,2297273333.3333,44026666.6667,33708000.0000,10636000.0000,10516000.0000,126666.6667,0.2813,0.2450,0.3460
ijk_ikj_1100_275,732.00,970416666.67,7225000.00,1032916666.67,1426583333.33,2441666.67,91666.67,17450000.00,1033333.33,0.8120,6489400000.0000,2205666666.6667,1823933333.3333,26666.6667,6666.6667,2318626666.6667,43113333.3333,33149333.3333,10653333.3333,10534666.6667,88000.0000,0.1965,0.1530,0.2270
ijk_ikj_1150_50,839.00,1083000000.00,3575000.00,1215833333.33,2308666666.67,15100000.00,450000.00,5000000.00,1766666.67,0.8873,8197333333.3333,2303466666.6667,1906066666.6667,186666.6667,0.0000,3071120000.0000,5186666.6667,3281333.3333,1417333.3333,1282666.6667,88000.0000,0.2122,0.1650,0.2750
ijk_ikj_1150_115,910.33,1147500000.00,11641666.67,1301333333.33,1796250000.00,7250000.00,91666.67,8316666.67,1450000.00,1.0087,7676733333.3333,2472000000.0000,2044866666.6667,100000.0000,0.0000,2644113333.3333,60206666.6667,59133333.3333,2346666.6667,2153333.3333,128000.0000,0.2538,0.2050,0.3130
ijk_ikj_1150_230,734.00,872833333.33,8708333.33,1021333333.33,1516250000.00,3366666.67,100000.00,16733333.33,1116666.67,0.8823,7437000000.0000,2550133333.3333,2102933333.3333,33333.3333,0.0000,2618666666.6667,49493333.3333,38254666.6667,12321333.3333,12182666.6667,122666.6667,0.3268,0.2790,0.3710
ijk_ikj_1200_50,958.67,1245250000.00,4400000.00,1416333333.33,2626250000.00,17091666.67,491666.67,5716666.67,1966666.67,1.0080,9313666666.6667,2605333333.3333,2155733333.3333,333333.3333,6666.6667,3481560000.0000,5853333.3333,3602666.6667,1646666.6667,1494666.6667,110666.6667,0.2396,0.1800,0.3110
ijk_ikj_1200_60,739.00,882000000.00,3708333.33,1065916666.67,2098583333.33,12908333.33,325000.00,3933333.33,1583333.33,0.9250,8854800000.0000,2536800000.0000,2099600000.0000,233333.3333,0.0000,3402273333.3333,6880000.0000,4484000.0000,1382666.6667,1218666.6667,125333.3333,0.2481,0.1780,0.3180
ijk_ikj_1200_75,657.33,1009250000.00,3550000.00,974250000.00,1542000000.00,9133333.33,233333.33,2450000.00,983333.33,1.0020,8994800000.0000,2662466666.6667,2202066666.6667,173333.3333,6666.6667,3302960000.0000,29306666.6667,25690666.6667,1392000.0000,1173333.3333,137333.3333,0.2474,0.1860,0.2950
ijk_ikj_1200_80,760.33,897250000.00,4458333.33,1115500000.00,2103500000.00,11400000.00,291666.67,4583333.33,1466666.67,0.8037,8692400000.0000,2663066666.6667,2205466666.6667,173333.3333,0.0000,3117466666.6667,49146666.6667,46529333.3333,1345333.3333,1144000.0000,144000.0000,0.2571,0.2050,0.3470
ijk_ikj_1200_100,827.00,922916666.67,9383333.33,1171750000.00,2217666666.67,9616666.67,183333.33,6350000.00,1566666.67,0.8743,8595200000.0000,2766266666.6667,2289066666.6667,146666.6667,0.0000,2972686666.6667,69320000.0000,68389333.3333,1528000.0000,1348000.0000,134666.6667,0.2558,0.1950,0.3450
ijk_ikj_1200_120,963.33,918333333.33,20658333.33,1384666666.67,2039916666.67,7991666.67,241666.67,23483333.33,1550000.00,1.0110,8531133333.3333,2748466666.6667,2274400000.0000,153333.3333,0.0000,2996953333.3333,63886666.6667,61940000.0000,1962666.6667,1790666.6667,128000.0000,0.2899,0.2330,0.3650
ijk_ikj_1200_150,1012.00,1126250000.00,15033333.33,1384500000.00,2057583333.33,6741666.67,158333.33,30600000.00,1783333.33,1.0817,8576533333.3333,2750066666.6667,2276666666.6667,93333.3333,0.0000,3023880000.0000,62966666.6667,58329333.3333,4689333.3333,4525333.3333,133333.3333,0.2462,0.1950,0.3120
ijk_ikj_1200_200,841.33,835333333.33,12216666.67,1129750000.00,1781583333.33,5325000.00,166666.67,31466666.67,1483333.33,0.8863,8403333333.3333,2833066666.6667,2333866666.6667,40000.0000,0.0000,2924940000.0000,56380000.0000,46773333.3333,11746666.6667,11557333.3333,146666.6667,0.3159,0.2640,0.3740
ijk_ikj_1200_240,802.00,847583333.33,9750000.00,1126916666.67,1842416666.67,4241666.67,150000.00,25766666.67,1483333.33,0.8697,8371066666.6667,2846533333.3333,2343333333.3333,40000.0000,0.0000,2938426666.6667,59686666.6667,45952000.0000,15596000.0000,15409333.3333,169333.3333,0.3583,0.3150,0.4200
ijk_ikj_1200_300,648.67,724916666.67,7900000.00,904083333.33,1498666666.67,3025000.00,100000.00,16766666.67,1233333.33,0.8467,8339066666.6667,2875266666.6667,2377333333.3333,46666.6667,0.0000,2989393333.3333,53793333.3333,43405333.3333,11578666.6667,11474666.6667,109333.3333,0.2532,0.2040,0.3510
ijk_ikj_1250_50,904.67,1183750000.00,3566666.67,1309416666.67,2436000000.00,17341666.67,550000.00,7166666.67,2616666.67,1.1273,10527066666.6667,2946600000.0000,2438133333.3333,466666.6667,0.0000,3951826666.6667,6473333.3333,3904000.0000,1865333.3333,1657333.3333,168000.0000,0.2793,0.2270,0.3340
ijk_ikj_1250_125,1304.33,1542166666.67,19325000.00,1834000000.00,2480916666.67,9133333.33,233333.33,37083333.33,4600000.00,1.3683,9741533333.3333,3147533333.3333,2603266666.6667,166666.6667,0.0000,3365286666.6667,74646666.6667,72728000.0000,3737333.3333,3486666.6667,177333.3333,0.3187,0.2660,0.3860
ijk_ikj_1250_250,1056.67,1226000000.00,11783333.33,1468416666.67,2219666666.67,4983333.33,175000.00,40216666.67,2450000.00,1.1003,9529133333.3333,3233733333.3333,2660333333.3333,66666.6667,0.0000,3402093333.3333,63846666.6667,47860000.0000,16178666.6667,16008000.0000,153333.3333,0.4055,0.3540,0.4840
ijk_ikj_1300_50,1208.33,1519583333.33,4983333.33,1734416666.67,3257416666.67,22458333.33,641666.67,14633333.33,3033333.33,1.2703,11841133333.3333,3300400000.0000,2732866666.6667,546666.6667,0.0000,4388586666.6667,7040000.0000,4465333.3333,2108000.0000,1868000.0000,209333.3333,0.3154,0.2450,0.3920
ijk_ikj_1300_52,1174.00,1355833333.33,4766666.67,1724416666.67,3434416666.67,21275000.00,625000.00,6600000.00,2233333.33,1.2387,11385066666.6667,3253333333.3333,2690933333.3333,513333.3333,0.0000,4336820000.0000,7546666.6667,4814666.6667,2105333.3333,1857333.3333,209333.3333,0.3042,0.2510,0.3980
ijk_ikj_1300_65,1182.33,1722000000.00,4116666.67,1747250000.00,3008916666.67,17616666.67,450000.00,9833333.33,2916666.67,1.2643,11438800000.0000,3305400000.0000,2734600000.0000,453333.3333,0.0000,4304293333.3333,13520000.0000,9202666.6667,1757333.3333,1496000.0000,198666.6667,0.3032,0.2320,0.3570
ijk_ikj_1300_100,1010.33,1187916666.67,7916666.67,1464916666.67,2851416666.67,12225000.00,241666.67,14283333.33,2166666.67,1.0703,10928600000.0000,3557333333.3333,2943000000.0000,200000.0000,0.0000,3774673333.3333,87366666.6667,87074666.6667,1793333.3333,1492000.0000,221333.3333,0.3540,0.3050,0.4450
ijk_ikj_1300_130,1332.00,1468750000.00,22200000.00,1889166666.67,2722500000.00,9608333.33,225000.00,56216666.67,4516666.67,1.3807,10977000000.0000,3531333333.3333,2921466666.6667,200000.0000,0.0000,3815080000.0000,81586666.6667,78728000.0000,4368000.0000,4092000.0000,201333.3333,0.3681,0.2990,0.4280
ijk_ikj_1300_260,1059.00,1132250000.00,13066666.67,1465833333.33,2516833333.33,5475000.00,183333.33,48316666.67,2216666.67,1.0987,10628200000.0000,3582200000.0000,2941066666.6667,86666.6667,0.0000,3768386666.6667,70866666.6667,54986666.6667,17744000.0000,17549333.3333,184000.0000,0.4548,0.3980,0.5080
ijk_ikj_1300_325,1290.33,1684333333.33,11700000.00,1896083333.33,2577333333.33,4216666.67,291666.67,46633333.33,2400000.00,1.3810,10639666666.6667,3612466666.6667,2988066666.6667,80000.0000,6666.6667,3799026666.6667,66600000.0000,54584000.0000,14350666.6667,14218666.6667,112000.0000,0.3239,0.2730,0.3810
ijk_ikj_1350_50,785.33,1096750000.00,3483333.33,1156833333.33,2012750000.00,16825000.00,525000.00,3733333.33,2016666.67,1.4333,13260066666.6667,3672933333.3333,3039600000.0000,613333.3333,0.0000,4960093333.3333,7606666.6667,4526666.6667,2352000.0000,2008000.0000,222666.6667,0.3402,0.2680,0.4370
ijk_ikj_1350_54,818.67,1209583333.33,3441666.67,1233750000.00,2296833333.33,15808333.33,441666.67,6033333.33,3166666.67,1.5133,13143666666.6667,3716800000.0000,3076866666.6667,560000.0000,0.0000,4910700000.0000,8866666.6667,5762666.6667,2152000.0000,1822666.6667,250666.6667,0.3581,0.2890,0.4610
ijk_ikj_1350_75,850.33,1304083333.33,2766666.67,1274250000.00,1841583333.33,11825000.00,291666.67,2500000.00,1433333.33,1.4957,12807733333.3333,3813133333.3333,3155400000.0000,386666.6667,0.0000,4735546666.6667,45400000.0000,40240000.0000,1882666.6667,1522666.6667,277333.3333,0.3741,0.2980,0.4760
ijk_ikj_1350_90,671.33,1047250000.00,3875000.00,1009250000.00,1736500000.00,9950000.00,216666.67,2333333.33,1283333.33,1.2667,12560466666.6667,3999000000.0000,3309666666.6667,333333.3333,6666.6667,4320853333.3333,97600000.0000,96300000.0000,1865333.3333,1489333.3333,284000.0000,0.3768,0.2990,0.4420
ijk_ikj_1350_135,996.00,1327416666.67,15016666.67,1495833333.33,1774750000.00,6883333.33,191666.67,2266666.67,1333333.33,1.7467,12310733333.3333,4197800000.0000,3468800000.0000,126666.6667,0.0000,4360993333.3333,83026666.6667,78509333.3333,5318666.6667,5033333.3333,216000.0000,0.4278,0.3550,0.4950
ijk_ikj_1350_150,895.00,1128750000.00,15241666.67,1336833333.33,1740750000.00,6233333.33,158333.33,2133333.33,950000.00,1.5690,12212200000.0000,3983933333.3333,3293533333.3333,140000.0000,0.0000,4265080000.0000,85953333.3333,79881333.3333,7974666.6667,7696000.0000,220000.0000,0.4376,0.3730,0.5180
ijk_ikj_1350_225,882.67,1224250000.00,11158333.33,1326833333.33,1517750000.00,4433333.33,141666.67,1950000.00,1150000.00,1.5630,12013133333.3333,4050933333.3333,3330733333.3333,133333.3333,6666.6667,4233213333.3333,82620000.0000,63440000.0000,20292000.0000,20038666.6667,222666.6667,0.4483,0.3790,0.5070
ijk_ikj_1350_270,790.00,1041916666.67,9875000.00,1155583333.33,1569083333.33,3933333.33,141666.67,1200000.00,750000.00,1.3893,11980733333.3333,4151400000.0000,3403266666.6667,80000.0000,0.0000,4291266666.6667,79040000.0000,61720000.0000,18002666.6667,17801333.3333,198666.6667,0.5189,0.4560,0.6060
ijk_ikj_1400_50,453.67,640333333.33,2166666.67,664666666.67,1163000000.00,9700000.00,283333.33,1500000.00,783333.33,1.5833,14789266666.6667,4141533333.3333,3427666666.6667,773333.3333,0.0000,5506753333.3333,8606666.6667,5276000.0000,2672000.0000,2290666.6667,281333.3333,0.3698,0.2870,0.4620
ijk_ikj_1400_56,371.67,451583333.33,2016666.67,532666666.67,890500000.00,8600000.00,216666.67,1866666.67,1050000.00,1.3527,14134533333.3333,4068400000.0000,3365866666.6667,573333.3333,0.0000,5391626666.6667,8533333.3333,5266666.6667,2266666.6667,1840000.0000,341333.3333,0.3861,0.3150,0.4620
ijk_ikj_1400_70,445.00,650416666.67,2308333.33,647750000.00,1174916666.67,6875000.00,166666.67,1366666.67,633333.33,1.5747,14286066666.6667,4191333333.3333,3469333333.3333,553333.3333,0.0000,5400420000.0000,22506666.6667,16264000.0000,2130666.6667,1754666.6667,294666.6667,0.3741,0.2910,0.4500
ijk_ikj_1400_100,368.00,479416666.67,3100000.00,539833333.33,975916666.67,5033333.33,108333.33,933333.33,600000.00,1.3377,13648733333.3333,4421266666.6667,3659400000.0000,340000.0000,0.0000,4704840000.0000,110266666.6667,108433333.3333,3270666.6667,2885333.3333,282666.6667,0.4316,0.3560,0.5020
ijk_ikj_1400_140,446.33,491333333.33,8858333.33,644916666.67,923416666.67,3716666.67,91666.67,733333.33,433333.33,1.5630,13474200000.0000,4383866666.6667,3623333333.3333,173333.3333,0.0000,4718860000.0000,98366666.6667,93721333.3333,6716000.0000,6393333.3333,229333.3333,0.4399,0.3740,0.4980
ijk_ikj_1400_175,540.67,726833333.33,7550000.00,782583333.33,949083333.33,3108333.33,83333.33,750000.00,433333.33,1.8253,13572066666.6667,4526266666.6667,3745933333.3333,153333.3333,0.0000,4714266666.6667,94386666.6667,81850666.6667,15670666.6667,15364000.0000,265333.3333,0.3977,0.3200,0.5010
ijk_ikj_1400_200,394.33,446416666.67,6908333.33,561833333.33,794416666.67,2833333.33,100000.00,650000.00,416666.67,1.4033,13344466666.6667,4531800000.0000,3733133333.3333,113333.3333,0.0000,4692746666.6667,89520000.0000,72129333.3333,18897333.3333,18617333.3333,228000.0000,0.4337,0.3620,0.4930
ijk_ikj_1400_280,377.33,459166666.67,5541666.67,554833333.33,818250000.00,2066666.67,91666.67,600000.00,433333.33,1.3423,13257533333.3333,4495866666.6667,3684800000.0000,180000.0000,0.0000,4724346666.6667,86180000.0000,68336000.0000,19794666.6667,19553333.3333,208000.0000,0.5631,0.4900,0.6270
ijk_ikj_1400_350,1061.33,1183750000.00,9458333.33,1570750000.00,2281416666.67,3275000.00,300000.00,34516666.67,866666.67,1.6717,13288466666.6667,4479733333.3333,3707266666.6667,126666.6667,0.0000,4826293333.3333,82953333.3333,67364000.0000,16381333.3333,16233333.3333,132000.0000,0.3907,0.3210,0.4650
ijk_ikj_1450_50,1181.00,1463083333.33,4941666.67,1698166666.67,3343750000.00,20225000.00,575000.00,6866666.67,1950000.00,1.7730,16430733333.3333,4626466666.6667,3828333333.3333,886666.6667,0.0000,6095573333.3333,10413333.3333,6654666.6667,3001333.3333,2472000.0000,389333.3333,0.4333,0.3510,0.5280
ijk_ikj_1450_58,1093.00,1456250000.00,4200000.00,1662000000.00,3260833333.33,17566666.67,525000.00,6216666.67,1616666.67,1.6933,16160133333.3333,4651533333.3333,3847666666.6667,760000.0000,0.0000,6067433333.3333,13006666.6667,8909333.3333,2544000.0000,2009333.3333,405333.3333,0.4308,0.3580,0.5450
ijk_ikj_1450_145,1270.67,1553166666.67,18875000.00,1904250000.00,2600333333.33,8350000.00,233333.33,51866666.67,1033333.33,2.0840,15105600000.0000,4912133333.3333,4056600000.0000,213333.3333,0.0000,5284486666.6667,109513333.3333,102592000.0000,8700000.0000,8338666.6667,268000.0000,0.5001,0.4230,0.5850
ijk_ikj_1450_290,1046.67,1261083333.33,10958333.33,1526666666.67,2449583333.33,4633333.33,241666.67,46133333.33,1033333.33,1.6850,14820400000.0000,5017533333.3333,4106866666.6667,80000.0000,0.0000,5294800000.0000,97413333.3333,76997333.3333,22208000.0000,21965333.3333,233333.3333,0.6209,0.5450,0.6850
ijk_ikj_1500_50,1266.67,1610500000.00,5200000.00,1895083333.33,3670333333.33,22683333.33,725000.00,7650000.00,2016666.67,1.9447,18190266666.6667,5173133333.3333,4281733333.3333,1000000.0000,13333.3333,6804506666.6667,11026666.6667,6573333.3333,3172000.0000,2618666.6667,470666.6667,0.4771,0.3810,0.5630
ijk_ikj_1500_60,1202.33,1382000000.00,4333333.33,1764000000.00,3637166666.67,19225000.00,533333.33,6733333.33,1800000.00,1.8010,17293800000.0000,5149533333.3333,4261000000.0000,853333.3333,0.0000,6639860000.0000,15273333.3333,10420000.0000,2793333.3333,2153333.3333,490666.6667,0.4809,0.3940,0.6470
ijk_ikj_1500_75,1299.67,1844166666.67,4708333.33,1896250000.00,3436000000.00,15783333.33,391666.67,6100000.00,1550000.00,1.9617,17569266666.6667,5256333333.3333,4350266666.6667,566666.6667,0.0000,6476740000.0000,54780000.0000,47678666.6667,2780000.0000,2144000.0000,466666.6667,0.4618,0.3660,0.5670
ijk_ikj_1500_100,1101.00,1263833333.33,8950000.00,1628500000.00,3255916666.67,12233333.33,308333.33,8100000.00,1300000.00,1.6447,16788733333.3333,5898600000.0000,4878266666.6667,340000.0000,0.0000,5873633333.3333,120846666.6667,118465333.3333,3465333.3333,2973333.3333,382666.6667,0.5395,0.4420,0.6470
ijk_ikj_1500_125,1562.67,1823416666.67,23233333.33,2211666666.67,3165916666.67,10308333.33,300000.00,44950000.00,1483333.33,2.3820,16833400000.0000,5534066666.6667,4579400000.0000,293333.3333,0.0000,5834840000.0000,128226666.6667,122422666.6667,8108000.0000,7629333.3333,348000.0000,0.4853,0.3860,0.5950
ijk_ikj_1500_150,1397.67,1397500000.00,18616666.67,1757083333.33,2728333333.33,9533333.33,216666.67,63050000.00,1516666.67,2.1000,16750400000.0000,5482866666.6667,4524733333.3333,220000.0000,0.0000,5879093333.3333,119100000.0000,109914666.6667,10917333.3333,10510666.6667,332000.0000,0.5508,0.4610,0.6600
ijk_ikj_1500_250,1783.00,2116166666.67,20683333.33,2461500000.00,3823916666.67,8783333.33,258333.33,52850000.00,2016666.67,1.8573,16466000000.0000,5580533333.3333,4578266666.6667,126666.6667,6666.6667,5829560000.0000,109746666.6667,84812000.0000,27038666.6667,26720000.0000,276000.0000,0.5988,0.5160,0.6980
ijk_ikj_1500_300,1336.67,1530916666.67,16383333.33,1927416666.67,3235500000.00,6250000.00,275000.00,29850000.00,1983333.33,1.6643,16288133333.3333,5643733333.3333,4614466666.6667,133333.3333,0.0000,5848846666.6667,103193333.3333,82361333.3333,22816000.0000,22549333.3333,234666.6667,0.7114,0.6180,0.7990
ijk_ikj_1500_375,1567.00,1757916666.67,12175000.00,2330583333.33,2165916666.67,3583333.33,675000.00,3566666.67,2150000.00,2.5867,16343933333.3333,5443133333.3333,4502400000.0000,140000.0000,6666.6667,5901540000.0000,106866666.6667,88960000.0000,20010666.6667,19822666.6667,181333.3333,0.4786,0.3820,0.5660
ijk_100,1.67,500000.00,8333.33,1000000.00,833333.33,0.00,0.00,133333.33,16666.67,0.0017,2533333.3333,3133333.3333,2866666.6667,0.0000,0.0000,1773333.3333,53333.3333,45333.3333,2666.6667,0.0000,0.0000,0.0004,0.0000,0.0010
ijk_150,4.67,4083333.33,116666.67,9166666.67,7333333.33,0.00,0.00,100000.00,0.00,0.0050,11600000.0000,11933333.3333,9866666.6667,0.0000,0.0000,6613333.3333,186666.6667,197333.3333,4000.0000,4000.0000,0.0000,0.0010,0.0000,0.0010
ijk_200,12.00,7833333.33,533333.33,18250000.00,13833333.33,8333.33,0.00,416666.67,33333.33,0.0137,27733333.3333,28800000.0000,24333333.3333,0.0000,0.0000,16120000.0000,573333.3333,473333.3333,50666.6667,42666.6667,0.0000,0.0023,0.0020,0.0030
