Liczba watkow 4
name;n;r;time
IJK_IKJ_600_100;600;100;  0.0430
IJK_IKJ_600_120;600;120;  0.0540
IJK_IKJ_600_150;600;150;  0.0250
IJK_IKJ_650_10;650;10;  0.0420
IJK_IKJ_650_13;650;13;  0.0380
IJK_IKJ_650_25;650;25;  0.0330
IJK_IKJ_650_26;650;26;  0.0350
IJK_IKJ_650_50;650;50;  0.0390
IJK_IKJ_650_65;650;65;  0.0340
IJK_IKJ_650_130;650;130;  0.0490
IJK_IKJ_700_10;700;10;  0.0510
IJK_IKJ_700_14;700;14;  0.0480
IJK_IKJ_700_20;700;20;  0.0400
IJK_IKJ_700_25;700;25;  0.0390
IJK_IKJ_700_28;700;28;  0.0410
IJK_IKJ_700_35;700;35;  0.0370
IJK_IKJ_700_50;700;50;  0.0400
IJK_IKJ_700_70;700;70;  0.0440
IJK_IKJ_700_100;700;100;  0.0740
IJK_IKJ_700_140;700;140;  0.0620
IJK_IKJ_700_175;700;175;  0.0520
IJK_IKJ_750_10;750;10;  0.0670
IJK_IKJ_750_15;750;15;  0.0560
IJK_IKJ_750_25;750;25;  0.0490
IJK_IKJ_750_30;750;30;  0.0520
IJK_IKJ_750_50;750;50;  0.0510
IJK_IKJ_750_75;750;75;  0.0640
IJK_IKJ_750_125;750;125;  0.0640
IJK_IKJ_750_150;750;150;  0.0960
IJK_IKJ_800_10;800;10;  0.0760
IJK_IKJ_800_16;800;16;  0.0610
IJK_IKJ_800_20;800;20;  0.0580
IJK_IKJ_800_25;800;25;  0.0650
IJK_IKJ_800_32;800;32;  0.0600
IJK_IKJ_800_40;800;40;  0.0540
IJK_IKJ_800_50;800;50;  0.0560
IJK_IKJ_800_80;800;80;  0.0710
IJK_IKJ_800_100;800;100;  0.0580
IJK_IKJ_800_160;800;160;  0.0930
IJK_IKJ_800_200;800;200;  0.0600
IJK_IKJ_850_10;850;10;  0.0930
IJK_IKJ_850_17;850;17;  0.0760
IJK_IKJ_850_25;850;25;  0.0820
IJK_IKJ_850_34;850;34;  0.0740
IJK_IKJ_850_50;850;50;  0.0790
IJK_IKJ_850_85;850;85;  0.0820
IJK_IKJ_850_170;850;170;  0.1300
IJK_IKJ_900_10;900;10;  0.1250
IJK_IKJ_900_12;900;12;  0.0940
IJK_IKJ_900_15;900;15;  0.0940
IJK_IKJ_900_18;900;18;  0.0910
IJK_IKJ_900_20;900;20;  0.0890
IJK_IKJ_900_25;900;25;  0.1050
IJK_IKJ_900_30;900;30;  0.0920
IJK_IKJ_900_36;900;36;  0.0860
IJK_IKJ_900_45;900;45;  0.0760
IJK_IKJ_900_50;900;50;  0.0840
IJK_IKJ_900_60;900;60;  0.0790
IJK_IKJ_900_75;900;75;  0.0780
IJK_IKJ_900_90;900;90;  0.1250
IJK_IKJ_900_100;900;100;  0.1080
IJK_IKJ_900_150;900;150;  0.1260
IJK_IKJ_900_180;900;180;  0.1330
IJK_IKJ_900_225;900;225;  0.0850
IJK_IKJ_950_10;950;10;  0.1300
IJK_IKJ_950_19;950;19;  0.1110
IJK_IKJ_950_25;950;25;  0.1020
IJK_IKJ_950_38;950;38;  0.1030
IJK_IKJ_950_50;950;50;  0.0980
IJK_IKJ_950_95;950;95;  0.1180
IJK_IKJ_950_190;950;190;  0.1570
IJK_IKJ_1000_10;1000;10;  0.1500
IJK_IKJ_1000_20;1000;20;  0.1190
IJK_IKJ_1000_25;1000;25;  0.1130
