Function / Call Stack,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time
ijk_ikj_1300_50,1081400000.0000,892600000.0000,180000.0000,0.0000,1320400000.0000,2580000.0000,2380000.0000,690000.0000,520000.0000,140000.0000,0.2585
ijk_ikj_1300_325,1113800000.0000,921800000.0000,60000.0000,0.0000,1174000000.0000,19600000.0000,15320000.0000,4190000.0000,4140000.0000,40000.0000,0.2669
ijk_ikj_1300_260,1132800000.0000,934400000.0000,80000.0000,0.0000,1165200000.0000,21080000.0000,15600000.0000,5060000.0000,4960000.0000,120000.0000,0.4068
ijk_ikj_1300_26,1069600000.0000,886600000.0000,460000.0000,0.0000,1322800000.0000,2660000.0000,880000.0000,1930000.0000,1820000.0000,140000.0000,0.2612
ijk_ikj_1300_25,1108800000.0000,916000000.0000,500000.0000,0.0000,1312000000.0000,3020000.0000,1180000.0000,2080000.0000,1850000.0000,140000.0000,0.2717
ijk_ikj_1300_20,1128000000.0000,932200000.0000,660000.0000,0.0000,1330400000.0000,3620000.0000,680000.0000,2950000.0000,2830000.0000,140000.0000,0.2643
ijk_ikj_1300_130,1139000000.0000,941800000.0000,80000.0000,0.0000,1146400000.0000,23480000.0000,22960000.0000,1450000.0000,1380000.0000,80000.0000,0.3081
ijk_ikj_1300_13,1303600000.0000,1077000000.0000,1120000.0000,0.0000,1378400000.0000,6260000.0000,280000.0000,5930000.0000,5820000.0000,140000.0000,0.2966
ijk_ikj_1300_100,1273000000.0000,1045800000.0000,100000.0000,0.0000,1178400000.0000,24560000.0000,23100000.0000,850000.0000,690000.0000,120000.0000,0.3605
ijk_ikj_1300_10,1525800000.0000,1262000000.0000,1840000.0000,0.0000,1512400000.0000,10580000.0000,1780000.0000,8100000.0000,8070000.0000,60000.0000,0.3487
ijk_ikj_1250_50,952800000.0000,786400000.0000,220000.0000,0.0000,1194400000.0000,2600000.0000,1700000.0000,610000.0000,490000.0000,140000.0000,0.2348
ijk_ikj_1250_250,974000000.0000,803200000.0000,40000.0000,0.0000,1010800000.0000,17620000.0000,13580000.0000,4850000.0000,4800000.0000,60000.0000,0.3662
ijk_ikj_1250_25,982200000.0000,809400000.0000,340000.0000,0.0000,1201600000.0000,3020000.0000,1340000.0000,1770000.0000,1640000.0000,60000.0000,0.2337
ijk_ikj_1250_125,1007400000.0000,833600000.0000,60000.0000,0.0000,1032800000.0000,21460000.0000,19860000.0000,1380000.0000,1290000.0000,80000.0000,0.2737
ijk_ikj_1250_10,1312400000.0000,1083200000.0000,840000.0000,0.0000,1266800000.0000,8900000.0000,1840000.0000,7470000.0000,7410000.0000,20000.0000,0.3142
ijk_ikj_1200_80,895200000.0000,741200000.0000,20000.0000,0.0000,952800000.0000,14660000.0000,14260000.0000,540000.0000,340000.0000,160000.0000,0.2313
ijk_ikj_1200_75,849400000.0000,701400000.0000,80000.0000,0.0000,1004000000.0000,8400000.0000,8000000.0000,450000.0000,300000.0000,60000.0000,0.1975
ijk_ikj_1200_60,882200000.0000,729400000.0000,100000.0000,0.0000,1044400000.0000,3760000.0000,3240000.0000,430000.0000,300000.0000,100000.0000,0.1866
ijk_ikj_1200_50,849800000.0000,703000000.0000,160000.0000,0.0000,1088000000.0000,2440000.0000,1480000.0000,490000.0000,410000.0000,80000.0000,0.1899
ijk_ikj_1200_48,871000000.0000,718200000.0000,180000.0000,0.0000,1008400000.0000,2460000.0000,1880000.0000,620000.0000,500000.0000,220000.0000,0.2067
ijk_ikj_1200_40,881200000.0000,727200000.0000,220000.0000,0.0000,1065600000.0000,1920000.0000,1160000.0000,740000.0000,540000.0000,140000.0000,0.1930
ijk_ikj_1200_300,968800000.0000,797200000.0000,40000.0000,20000.0000,876800000.0000,14400000.0000,12520000.0000,3470000.0000,3370000.0000,40000.0000,0.2103
ijk_ikj_1200_30,896800000.0000,738000000.0000,240000.0000,0.0000,1085600000.0000,2300000.0000,1140000.0000,1070000.0000,920000.0000,140000.0000,0.1950
