Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	L1 DTLB hit	DRAM accesses	Read req L3	L3 misses
Unknown Module (PID 7664)!0x2ddaf713	Unknown Module (PID 7664)	32	33	2	178	1908	1		103		26	1
Unknown Module (PID 7664)!0x2ddb0cf6	Unknown Module (PID 7664)	32	65	55	194	563	20	1	682	9	22	4
Unknown Module (PID 7664)!0x2ddb1b42	Unknown Module (PID 7664)	32	130	3	212	2865			1543		8	1
Unknown Module (PID 7664)!0x2ddb40e8	Unknown Module (PID 7664)	32	3		179	3793			3	2	5	1
Unknown Module (PID 7664)!0x2ddb5a72	Unknown Module (PID 7664)	32	73		125	1528			626	2	3	1
Unknown Module (PID 7664)!0x2ddb62f0	Unknown Module (PID 7664)	32	148	8	221	1991	4	1	1465		32	
Unknown Module (PID 7664)!0x2ddb6308	Unknown Module (PID 7664)	32	193	12	249	2458	8	1	1776	1	19	
Unknown Module (PID 7664)!0x2ddb76ef	Unknown Module (PID 7664)	32	121	4	198	2759	1		811	1	33	
Unknown Module (PID 7664)!0x2dd93552	Unknown Module (PID 7664)	31	24	80	230	187	41	16	162		37	
Unknown Module (PID 7664)!0x2dd93563	Unknown Module (PID 7664)	31	25	101	218	228	30	26	144		46	1
Unknown Module (PID 7664)!0x2dd93f65	Unknown Module (PID 7664)	31	171	5	257	2200			1708	1	20	
Unknown Module (PID 7664)!0x2dd94aff	Unknown Module (PID 7664)	31	109	15	211	1067		3	1030	4	8	
Unknown Module (PID 7664)!0x2dd950bf	Unknown Module (PID 7664)	31	84	8	185	934		3	753	4	6	
Unknown Module (PID 7664)!0x2dd957d7	Unknown Module (PID 7664)	31	4	11	114	37		9	26		8	
Unknown Module (PID 7664)!0x2dd9609b	Unknown Module (PID 7664)	31	5	7	180	17		13	44	1	10	
Unknown Module (PID 7664)!0x2dd96626	Unknown Module (PID 7664)	31	8	15	178	41		15	39	1	15	
Unknown Module (PID 7664)!0x2dd96715	Unknown Module (PID 7664)	31	106	4	169	1311	3		939	22	23	3
Unknown Module (PID 7664)!0x2dd96892	Unknown Module (PID 7664)	31	6	19	197	40	3	17	30	2	13	
Unknown Module (PID 7664)!0x2dda01cb	Unknown Module (PID 7664)	31	117	20	197	1320		2	1127		18	1
Unknown Module (PID 7664)!0x2dda2e7d	Unknown Module (PID 7664)	31	188	5	186	2884	1		1804		4	
Unknown Module (PID 7664)!0x2dda4cd7	Unknown Module (PID 7664)	31	148		173	1848	1		1188		5	
Unknown Module (PID 7664)!0x2dda4fda	Unknown Module (PID 7664)	31	132		144	932	1		1248		2	
Unknown Module (PID 7664)!0x2dda5891	Unknown Module (PID 7664)	31	144	22	161	1423			1225		6	
Unknown Module (PID 7664)!0x2dda5b4c	Unknown Module (PID 7664)	31	152	12	211	2265	1		1347	5	21	2
Unknown Module (PID 7664)!0x2dda6447	Unknown Module (PID 7664)	31	83	3	121	1267			973	1	15	1
Unknown Module (PID 7664)!0x2dda6741	Unknown Module (PID 7664)	31	106		103	1228			795	1	13	
Unknown Module (PID 7664)!0x2dda6776	Unknown Module (PID 7664)	31	118		153	1458			942	3	13	
Unknown Module (PID 7664)!0x2dda6a0b	Unknown Module (PID 7664)	31	128	3	180	1924			1130		18	
Unknown Module (PID 7664)!0x2dda7cdd	Unknown Module (PID 7664)	31	209	33	197	1267	2		1392		10	
Unknown Module (PID 7664)!0x2dda7fa6	Unknown Module (PID 7664)	31	148	2	158	1766	3		1141		24	1
Unknown Module (PID 7664)!0x2dda7ff1	Unknown Module (PID 7664)	31	139	8	133	1797			1090	1	16	1
Unknown Module (PID 7664)!0x2dda82a5	Unknown Module (PID 7664)	31	179	13	217	1608	1		1522	2	34	
Unknown Module (PID 7664)!0x2dda82e2	Unknown Module (PID 7664)	31	121	4	176	1707	1		1052	1	17	
Unknown Module (PID 7664)!0x2dda8d6f	Unknown Module (PID 7664)	31	152	4	203	2270		1	1450	1	9	2
Unknown Module (PID 7664)!0x2dda8d8d	Unknown Module (PID 7664)	31	216	2	203	2430			1711		4	2
Unknown Module (PID 7664)!0x2dda9056	Unknown Module (PID 7664)	31	104	7	199	3020	45		1164	1	5	
Unknown Module (PID 7664)!0x2dda9080	Unknown Module (PID 7664)	31	141		190	2020	1		1707	1	4	
Unknown Module (PID 7664)!0x2dda9660	Unknown Module (PID 7664)	31	169	2	154	1850	1		1566	1	14	
Unknown Module (PID 7664)!0x2dda9927	Unknown Module (PID 7664)	31	163	3	192	1805			1382	3	26	
Unknown Module (PID 7664)!0x2dda9f51	Unknown Module (PID 7664)	31	182	4	194	2063			1422	1	14	
Unknown Module (PID 7664)!0x2ddaa521	Unknown Module (PID 7664)	31	166	1	202	1738	1		1388	1	23	
Unknown Module (PID 7664)!0x2ddab021	Unknown Module (PID 7664)	31	145	2	140	1553			918	1	8	
Unknown Module (PID 7664)!0x2ddabbb7	Unknown Module (PID 7664)	31	161	2	201	2074			1481	1	20	
Unknown Module (PID 7664)!0x2ddacea2	Unknown Module (PID 7664)	31	73	2	124	1924	1		670	1	7	
Unknown Module (PID 7664)!0x2ddad1b4	Unknown Module (PID 7664)	31	115		118	2096	1		925	1	7	
Unknown Module (PID 7664)!0x2ddaebb6	Unknown Module (PID 7664)	31	50	8	125	565	3	2	372		17	4
Unknown Module (PID 7664)!0x2ddaf38a	Unknown Module (PID 7664)	31	95		156	1585	2		1068	2		
Unknown Module (PID 7664)!0x2ddb1da9	Unknown Module (PID 7664)	31	89	10	179	278	17	1	929	2	6	1
Unknown Module (PID 7664)!0x2ddb1e46	Unknown Module (PID 7664)	31	157	2	227	6589	2		1223	2	5	
Unknown Module (PID 7664)!0x2ddb4c34	Unknown Module (PID 7664)	31	84	2	115	1005			738		15	1
Unknown Module (PID 7664)!0x2ddb4c3c	Unknown Module (PID 7664)	31	118	9	275	2303		1	1122	7	26	5
Unknown Module (PID 7664)!0x2ddb6336	Unknown Module (PID 7664)	31	142	2	185	2030	1		1132	1	17	1
Unknown Module (PID 7664)!0x2ddb79c0	Unknown Module (PID 7664)	31	99	1	126	966	1		736	2	10	
Unknown Module (PID 7664)!0x2ddb7ce4	Unknown Module (PID 7664)	31	7	1	188	1456	2		51	4	30	1
multiply_matrices_ijk_ikj_250_250(void)	OMPMul.exe	30	110	5	165	1548			1130	5	22	
Unknown Module (PID 7664)!0x2dd92979	Unknown Module (PID 7664)	30	28	75	135	324	61	3	167		42	
Unknown Module (PID 7664)!0x2dd93283	Unknown Module (PID 7664)	30	17	80	176	280	35	8	155		68	
Unknown Module (PID 7664)!0x2dd939c5	Unknown Module (PID 7664)	30	158	2	186	1764			1131	1	25	
Unknown Module (PID 7664)!0x2dd93c4a	Unknown Module (PID 7664)	30	148	2	194	1475			1171	1	21	
Unknown Module (PID 7664)!0x2dd93f2a	Unknown Module (PID 7664)	30	158	3	243	1854			1454		17	
Unknown Module (PID 7664)!0x2dd947a9	Unknown Module (PID 7664)	30	77	19	196	973		1	859	3	6	
Unknown Module (PID 7664)!0x2dd94f5f	Unknown Module (PID 7664)	30	5	26	211	54	4	59	61	2	29	
Unknown Module (PID 7664)!0x2dd95d97	Unknown Module (PID 7664)	30	6	7	155	46	1	16	26		8	1
Unknown Module (PID 7664)!0x2dd962d0	Unknown Module (PID 7664)	30	5	6	170	27		32	45		64	
Unknown Module (PID 7664)!0x2dd96860	Unknown Module (PID 7664)	30	6	8	234	25	2	38	46	2	95	1
Unknown Module (PID 7664)!0x2dd9f95f	Unknown Module (PID 7664)	30	165	1	154	2178	1		1564		4	1
Unknown Module (PID 7664)!0x2dda0ff0	Unknown Module (PID 7664)	30	171	8	192	2405			1667		31	
Unknown Module (PID 7664)!0x2dda157f	Unknown Module (PID 7664)	30	163	3	183	1987			1394		16	
Unknown Module (PID 7664)!0x2dda15ad	Unknown Module (PID 7664)	30	116	2	150	1639			1076	1	21	
Unknown Module (PID 7664)!0x2dda4808	Unknown Module (PID 7664)	30	133	2	194	1801			1339	1	30	
Unknown Module (PID 7664)!0x2dda4caa	Unknown Module (PID 7664)	30	125	2	175	2068	3		1029		5	1
Unknown Module (PID 7664)!0x2dda4f8f	Unknown Module (PID 7664)	30	94	2	160	1014	3		1013	3	9	1
Unknown Module (PID 7664)!0x2dda4f94	Unknown Module (PID 7664)	30	96	5	176	1656	5		1117	3	8	
Unknown Module (PID 7664)!0x2dda4f9a	Unknown Module (PID 7664)	30	136	2	175	1534	2	1	961	3	2	
Unknown Module (PID 7664)!0x2dda4fb5	Unknown Module (PID 7664)	30	104	5	105	1681	1		1164		2	
Unknown Module (PID 7664)!0x2dda52eb	Unknown Module (PID 7664)	30	173	1	211	2483	1		1352	2	4	1
Unknown Module (PID 7664)!0x2dda5b5b	Unknown Module (PID 7664)	30	138	5	205	1841	2		1270	1	29	1
Unknown Module (PID 7664)!0x2dda6155	Unknown Module (PID 7664)	30	120	15	152	1538			1228		25	1
Unknown Module (PID 7664)!0x2dda6476	Unknown Module (PID 7664)	30	136	5	146	1459			996		18	
Unknown Module (PID 7664)!0x2dda69fd	Unknown Module (PID 7664)	30	139	1	154	1668			1064	2	12	
Unknown Module (PID 7664)!0x2dda7786	Unknown Module (PID 7664)	30	120	3	151	1478	1		1100	4	10	1
Unknown Module (PID 7664)!0x2dda79fb	Unknown Module (PID 7664)	30	163	5	187	2496			1469		8	
Unknown Module (PID 7664)!0x2dda7ceb	Unknown Module (PID 7664)	30	179	35	174	1703			1519		18	1
Unknown Module (PID 7664)!0x2dda82c1	Unknown Module (PID 7664)	30	153		155	1934			1254	2	26	
Unknown Module (PID 7664)!0x2dda8597	Unknown Module (PID 7664)	30	134	3	184	1659			1290		33	
Unknown Module (PID 7664)!0x2dda8b50	Unknown Module (PID 7664)	30	141	1	177	1756			1084	3	13	
Unknown Module (PID 7664)!0x2dda8d95	Unknown Module (PID 7664)	30	152	2	191	2139	3		1299	2	4	
Unknown Module (PID 7664)!0x2dda90d3	Unknown Module (PID 7664)	30	50		95	1126	2		208	1	2	
Unknown Module (PID 7664)!0x2dda9943	Unknown Module (PID 7664)	30	171	10	198	1998	1		1461		24	
Unknown Module (PID 7664)!0x2dda9f27	Unknown Module (PID 7664)	30	160		231	1853			1360		28	
Unknown Module (PID 7664)!0x2ddaa224	Unknown Module (PID 7664)	30	157	2	182	1664			1359	3	34	
Unknown Module (PID 7664)!0x2ddaa572	Unknown Module (PID 7664)	30	145	2	191	2014			1426		23	1
Unknown Module (PID 7664)!0x2ddace24	Unknown Module (PID 7664)	30	111	1	126	1007			761	1	3	2
Unknown Module (PID 7664)!0x2ddadfb6	Unknown Module (PID 7664)	30	49	45	195	717	11		471	7	23	4
Unknown Module (PID 7664)!0x2ddafcfc	Unknown Module (PID 7664)	30	96	2	123	1100	1		916	1	12	1
Unknown Module (PID 7664)!0x2ddb136b	Unknown Module (PID 7664)	30	144	4	170	2062			1231		16	
Unknown Module (PID 7664)!0x2ddb1b6b	Unknown Module (PID 7664)	30	173	5	217	2310	2		1884		4	
Unknown Module (PID 7664)!0x2ddb1e68	Unknown Module (PID 7664)	30			154	319			9	1	3	
Unknown Module (PID 7664)!0x2ddb4c40	Unknown Module (PID 7664)	30	84	1	170	1256	6		938		20	
Unknown Module (PID 7664)!0x2dd92fc3	Unknown Module (PID 7664)	29	22	86	183	228	57	14	196	1	86	1
Unknown Module (PID 7664)!0x2dd93413	Unknown Module (PID 7664)	29	83		96	988			773		19	
Unknown Module (PID 7664)!0x2dd9350e	Unknown Module (PID 7664)	29	24	81	210	248	38	13	152		54	
Unknown Module (PID 7664)!0x2dd936d7	Unknown Module (PID 7664)	29	125	3	132	1377	1		984	1	21	
Unknown Module (PID 7664)!0x2dd93843	Unknown Module (PID 7664)	29	17	96	258	226	21	29	124		56	
Unknown Module (PID 7664)!0x2dd93c2f	Unknown Module (PID 7664)	29	120		194	1513			1289	2	9	
Unknown Module (PID 7664)!0x2dd93f9f	Unknown Module (PID 7664)	29	145	4	190	1784			1156	2	25	
Unknown Module (PID 7664)!0x2dd947d5	Unknown Module (PID 7664)	29	47		102	785			581	1	9	
Unknown Module (PID 7664)!0x2dd947ef	Unknown Module (PID 7664)	29	134	2	165	1354			1093		12	
Unknown Module (PID 7664)!0x2dd94811	Unknown Module (PID 7664)	29	151	2	195	1672			1408		18	
Unknown Module (PID 7664)!0x2dd94a89	Unknown Module (PID 7664)	29	103	12	223	1197		2	1034	2	10	
Unknown Module (PID 7664)!0x2dd94aaf	Unknown Module (PID 7664)	29	99	22	193	1228	1	7	1078		7	
Unknown Module (PID 7664)!0x2dd94c91	Unknown Module (PID 7664)	29	12	13	171	107	6	8	73		6	
Unknown Module (PID 7664)!0x2dd95807	Unknown Module (PID 7664)	29	3	5	102	35	1	27	49	1	35	
Unknown Module (PID 7664)!0x2dd95907	Unknown Module (PID 7664)	29	123	1	183	1799			1243	5	28	3
Unknown Module (PID 7664)!0x2dd95c31	Unknown Module (PID 7664)	29	187	2	197	1880			1199	12	17	5
Unknown Module (PID 7664)!0x2dd95d53	Unknown Module (PID 7664)	29	5	14	155	26		18	25	1	8	
Unknown Module (PID 7664)!0x2dd96324	Unknown Module (PID 7664)	29	2	13	186	27	2	21	44	2	10	
Unknown Module (PID 7664)!0x2dd9678b	Unknown Module (PID 7664)	29	153	1	175	1388			1003	30	14	13
Unknown Module (PID 7664)!0x2dd9dcef	Unknown Module (PID 7664)	29	124	3	115	1315			1074	2	5	
Unknown Module (PID 7664)!0x2dda09ff	Unknown Module (PID 7664)	29	159	1	156	1217			1692		16	
Unknown Module (PID 7664)!0x2dda2b4b	Unknown Module (PID 7664)	29	81	9	147	1359	1	1	839	4	2	2
Unknown Module (PID 7664)!0x2dda3efa	Unknown Module (PID 7664)	29	93	2	130	1775	2		918		1	
Unknown Module (PID 7664)!0x2dda4cc0	Unknown Module (PID 7664)	29	107	1	104	1430			1172	1	4	1
Unknown Module (PID 7664)!0x2dda527b	Unknown Module (PID 7664)	29	118	12	194	1134	35	1	978	4	9	
Unknown Module (PID 7664)!0x2dda559b	Unknown Module (PID 7664)	29	115	21	171	1338			1182	4	10	2
Unknown Module (PID 7664)!0x2dda55a1	Unknown Module (PID 7664)	29	166	27	164	1822	2		1383		14	1
Unknown Module (PID 7664)!0x2dda5b76	Unknown Module (PID 7664)	29	140	14	167	1524			1153	2	18	
Unknown Module (PID 7664)!0x2dda5e7c	Unknown Module (PID 7664)	29	127	17	170	1707	1		1202	1	21	
Unknown Module (PID 7664)!0x2dda675b	Unknown Module (PID 7664)	29	139	2	186	1809	1		1235		20	
Unknown Module (PID 7664)!0x2dda676e	Unknown Module (PID 7664)	29	113	3	181	1543			989		25	
Unknown Module (PID 7664)!0x2dda6c10	Unknown Module (PID 7664)	29	98	4	134	1553	2		1082		1	
Unknown Module (PID 7664)!0x2dda6c16	Unknown Module (PID 7664)	29	87		139	1528	31		876	1	4	2
Unknown Module (PID 7664)!0x2dda6c1f	Unknown Module (PID 7664)	29	89	6	159	1788	1		1058	1	5	1
Unknown Module (PID 7664)!0x2dda6c24	Unknown Module (PID 7664)	29	118	10	174	1765	9		1166	2	5	
Unknown Module (PID 7664)!0x2dda6f27	Unknown Module (PID 7664)	29	126	3	167	1692	1		1080	3	9	1
Unknown Module (PID 7664)!0x2dda7205	Unknown Module (PID 7664)	29	153	22	214	1739	1		1470		19	1
Unknown Module (PID 7664)!0x2dda721e	Unknown Module (PID 7664)	29	188	7	188	1908	11		1440	1	21	
Unknown Module (PID 7664)!0x2dda7518	Unknown Module (PID 7664)	29	131	1	172	1946			1162	1	14	
Unknown Module (PID 7664)!0x2dda7526	Unknown Module (PID 7664)	29	145	3	179	1846	2		1143		10	
Unknown Module (PID 7664)!0x2dda7a15	Unknown Module (PID 7664)	29	126		164	1746	34		969	1	7	
Unknown Module (PID 7664)!0x2dda7fc2	Unknown Module (PID 7664)	29	163	1	191	2100	2		1288		24	
Unknown Module (PID 7664)!0x2dda82e6	Unknown Module (PID 7664)	29	138	4	221	1898			1057	1	20	
Unknown Module (PID 7664)!0x2dda85c1	Unknown Module (PID 7664)	29	157	4	193	1629			1258	1	15	
Unknown Module (PID 7664)!0x2dda8db5	Unknown Module (PID 7664)	29	122	1	156	2014	46		1099	1	6	
Unknown Module (PID 7664)!0x2dda8de3	Unknown Module (PID 7664)	29	131		146	2218			1164	1	2	
Unknown Module (PID 7664)!0x2dda9636	Unknown Module (PID 7664)	29	129	5	164	1692			1139	1	7	2
Unknown Module (PID 7664)!0x2ddaa576	Unknown Module (PID 7664)	29	151	4	192	1959			1350	1	25	
Unknown Module (PID 7664)!0x2ddaafd3	Unknown Module (PID 7664)	29	111	1	146	1455	1		1042		9	
Unknown Module (PID 7664)!0x2ddad1c3	Unknown Module (PID 7664)	29	96	1	116	1754			945	1	4	1
Unknown Module (PID 7664)!0x2ddb01cf	Unknown Module (PID 7664)	29	154		178	1795	2		1396	3	7	
Unknown Module (PID 7664)!0x2ddb07b3	Unknown Module (PID 7664)	29	38	5	268	4423	1		70	1	6	
Unknown Module (PID 7664)!0x2ddb1e27	Unknown Module (PID 7664)	29	169	1	194	2207	1		596		5	1
Unknown Module (PID 7664)!0x2ddb212c	Unknown Module (PID 7664)	29	124	3	178	3725	2		1235	4	7	
Unknown Module (PID 7664)!0x2ddb2448	Unknown Module (PID 7664)	29	1	1	119	1311			1		4	
Unknown Module (PID 7664)!0x2ddb32fb	Unknown Module (PID 7664)	29	113	1	137	1351	2		990	1	9	
Unknown Module (PID 7664)!0x2ddb40ac	Unknown Module (PID 7664)	29	175	1	140	994	4		1320	1	2	
Unknown Module (PID 7664)!0x2ddb49b0	Unknown Module (PID 7664)	29	66		148	1759			346	2	13	
multiply_matrices_ikj_300(void)	OMPMul.exe	28	110	3	155	1372	1		839	2	26	1
Unknown Module (PID 7664)!0x2dd92c8c	Unknown Module (PID 7664)	28	39	133	200	446	88	2	294	1	66	
Unknown Module (PID 7664)!0x2dd930f7	Unknown Module (PID 7664)	28	66	3	91	936	1		700		11	
Unknown Module (PID 7664)!0x2dd9322e	Unknown Module (PID 7664)	28	16	71	185	257	39	8	173		73	1
Unknown Module (PID 7664)!0x2dd93530	Unknown Module (PID 7664)	28	28	95	211	231	26	12	163		55	
Unknown Module (PID 7664)!0x2dd93978	Unknown Module (PID 7664)	28	125	1	161	1303			983		16	
Unknown Module (PID 7664)!0x2dd94111	Unknown Module (PID 7664)	28	9	19	150	140	17	5	94	1	15	
Unknown Module (PID 7664)!0x2dd94559	Unknown Module (PID 7664)	28	122	1	140	1301	2		1057	1	18	
Unknown Module (PID 7664)!0x2dd946d1	Unknown Module (PID 7664)	28	12	30	273	163	21	9	146		17	
Unknown Module (PID 7664)!0x2dd95755	Unknown Module (PID 7664)	28	7	22	219	92	3	45	51	1	41	
Unknown Module (PID 7664)!0x2dd95a51	Unknown Module (PID 7664)	28	9	15	112	32	5	7	67	1	13	1
Unknown Module (PID 7664)!0x2dd95ff0	Unknown Module (PID 7664)	28	1	8	171	33	2	44	54		65	1
Unknown Module (PID 7664)!0x2dd96066	Unknown Module (PID 7664)	28	3	14	175	46	2	11	34		14	2
Unknown Module (PID 7664)!0x2dd961dd	Unknown Module (PID 7664)	28	126	5	136	1585			1131	24	13	9
Unknown Module (PID 7664)!0x2dd96335	Unknown Module (PID 7664)	28	5	18	204	34		21	39		24	
Unknown Module (PID 7664)!0x2dd96374	Unknown Module (PID 7664)	28	7	12	180	34	2	7	36	1	19	
Unknown Module (PID 7664)!0x2dd96482	Unknown Module (PID 7664)	28	101	1	147	1360			950	16	22	12
Unknown Module (PID 7664)!0x2dd96637	Unknown Module (PID 7664)	28	2	12	206	31	4	14	27		12	
Unknown Module (PID 7664)!0x2dd96648	Unknown Module (PID 7664)	28	5	9	204	15	2	10	32	1	24	
Unknown Module (PID 7664)!0x2dda3f27	Unknown Module (PID 7664)	28	138		162	1584	4		1053	2	5	1
Unknown Module (PID 7664)!0x2dda3f2d	Unknown Module (PID 7664)	28	156	4	168	2022	10		1413	2	6	
Unknown Module (PID 7664)!0x2dda44ee	Unknown Module (PID 7664)	28	129	7	153	1385	17		1008		14	
Unknown Module (PID 7664)!0x2dda4a6a	Unknown Module (PID 7664)	28	109	1	156	1608		1	1037	2	23	1
Unknown Module (PID 7664)!0x2dda4cbd	Unknown Module (PID 7664)	28	125	2	148	1865	1		1139	1	2	
Unknown Module (PID 7664)!0x2dda52b1	Unknown Module (PID 7664)	28	137	16	201	2489	1		1088	1	8	
Unknown Module (PID 7664)!0x2dda587d	Unknown Module (PID 7664)	28	127	24	121	766	1		1054		9	1
Unknown Module (PID 7664)!0x2dda5b55	Unknown Module (PID 7664)	28	140	25	175	1456			1214		22	1
Unknown Module (PID 7664)!0x2dda645b	Unknown Module (PID 7664)	28	137	2	185	1915	5	1	1383	3	26	1
Unknown Module (PID 7664)!0x2dda6750	Unknown Module (PID 7664)	28	114	3	144	1420			967	1	26	
Unknown Module (PID 7664)!0x2dda6c37	Unknown Module (PID 7664)	28	130	2	153	1699	2		1167	2	9	1
Unknown Module (PID 7664)!0x2dda6c51	Unknown Module (PID 7664)	28	173	8	176	2074	2		1624		7	
Unknown Module (PID 7664)!0x2dda6f30	Unknown Module (PID 7664)	28	108	1	147	1716			1116	1	6	
Unknown Module (PID 7664)!0x2dda71f4	Unknown Module (PID 7664)	28	105	9	157	1442	1		966	2	18	
Unknown Module (PID 7664)!0x2dda7226	Unknown Module (PID 7664)	28	168	3	192	1603			1235	2	14	
Unknown Module (PID 7664)!0x2dda79f0	Unknown Module (PID 7664)	28	114	2	182	2116	1		1544	1	2	1
Unknown Module (PID 7664)!0x2dda7fc7	Unknown Module (PID 7664)	28	201	16	193	2414	1	1	1573	1	25	
Unknown Module (PID 7664)!0x2dda85cc	Unknown Module (PID 7664)	28	189	12	222	2415	1		1563	4	27	1
Unknown Module (PID 7664)!0x2dda88c1	Unknown Module (PID 7664)	28	132	1	184	1865			1080	1	12	
Unknown Module (PID 7664)!0x2ddab602	Unknown Module (PID 7664)	28	205	7	228	2243			1486	1	23	
Unknown Module (PID 7664)!0x2ddac074	Unknown Module (PID 7664)	28	77	1	118	709	1		643	4	2	
Unknown Module (PID 7664)!0x2ddace05	Unknown Module (PID 7664)	28	135	1	148	1954	1		862	1	7	
Unknown Module (PID 7664)!0x2ddaf375	Unknown Module (PID 7664)	28	142		150	1838			948		8	1
Unknown Module (PID 7664)!0x2ddaf966	Unknown Module (PID 7664)	28	46	30	182	278	7	2	480	12	31	7
Unknown Module (PID 7664)!0x2ddb1a9f	Unknown Module (PID 7664)	28	205	3	200	2092	2		1871	1	3	
Unknown Module (PID 7664)!0x2ddb1ad4	Unknown Module (PID 7664)	28	146	2	184	1361	1		1094	2	1	
Unknown Module (PID 7664)!0x2ddb2128	Unknown Module (PID 7664)	28	93	1	161	2775	5		1127		3	
Unknown Module (PID 7664)!0x2ddb361c	Unknown Module (PID 7664)	28	127	3	163	1324	1	1	1030	1	17	
Unknown Module (PID 7664)!0x2ddb4019	Unknown Module (PID 7664)	28			159	4			1		4	
Unknown Module (PID 7664)!0x2ddb40af	Unknown Module (PID 7664)	28	180	1	186	1329	2		1076	2	3	
Unknown Module (PID 7664)!0x2ddb498b	Unknown Module (PID 7664)	28	168	3	220	2700	1		1573	1	23	1
Unknown Module (PID 7664)!0x2ddb62e7	Unknown Module (PID 7664)	28	134	6	194	1836	3		1238	2	24	
Unknown Module (PID 7664)!0x2ddb6d80	Unknown Module (PID 7664)	28	124	1	100	376			927	1	3	
Unknown Module (PID 7664)!0x2ddb6e34	Unknown Module (PID 7664)	28	106	4	142	3959	4		856	2	4	
multiply_matrices_ijk_ikj_250_125(void)	OMPMul.exe	27	99	9	189	1871	2	1	993	3	18	3
Unknown Module (PID 7664)!0x2dd92cbf	Unknown Module (PID 7664)	27	35	138	169	370	84	2	215		72	
Unknown Module (PID 7664)!0x2dd93261	Unknown Module (PID 7664)	27	25	62	192	235	49	8	192		49	
Unknown Module (PID 7664)!0x2dd93272	Unknown Module (PID 7664)	27	21	84	169	199	40	9	164		49	
Unknown Module (PID 7664)!0x2dd9336b	Unknown Module (PID 7664)	27	50	25	169	563		5	485	1	14	1
Unknown Module (PID 7664)!0x2dd93920	Unknown Module (PID 7664)	27	138		165	1447	1		939		12	
Unknown Module (PID 7664)!0x2dd93c00	Unknown Module (PID 7664)	27	138	3	201	1912	1		1181	1	23	1
Unknown Module (PID 7664)!0x2dd93c0f	Unknown Module (PID 7664)	27	123	1	207	1525			1115	2	14	
Unknown Module (PID 7664)!0x2dd93f4f	Unknown Module (PID 7664)	27	91	1	99	782			665		12	
Unknown Module (PID 7664)!0x2dd94251	Unknown Module (PID 7664)	27	113	2	132	1405			930		13	1
Unknown Module (PID 7664)!0x2dd944c9	Unknown Module (PID 7664)	27	77	25	161	800	1	2	761	1	2	1
Unknown Module (PID 7664)!0x2dd944e7	Unknown Module (PID 7664)	27	116	1	145	1279	2		1062		35	
Unknown Module (PID 7664)!0x2dd94acf	Unknown Module (PID 7664)	27	170	3	180	1573	1		1262	1	18	
Unknown Module (PID 7664)!0x2dd94daf	Unknown Module (PID 7664)	27	116		99	1029			743		14	
Unknown Module (PID 7664)!0x2dd95f39	Unknown Module (PID 7664)	27	147	2	229	2104	1		1464	26	17	13
Unknown Module (PID 7664)!0x2dd96044	Unknown Module (PID 7664)	27	7	19	184	26	2	12	31		12	
Unknown Module (PID 7664)!0x2dd96055	Unknown Module (PID 7664)	27	11	14	168	35	2	12	34	2	10	
Unknown Module (PID 7664)!0x2dd96077	Unknown Module (PID 7664)	27	4	14	177	27	3	16	26		7	
Unknown Module (PID 7664)!0x2dd961c3	Unknown Module (PID 7664)	27	129	3	168	1490			1008	14	9	5
Unknown Module (PID 7664)!0x2dd961eb	Unknown Module (PID 7664)	27	112	5	131	1075			767	21	15	6
Unknown Module (PID 7664)!0x2dd96302	Unknown Module (PID 7664)	27	8	19	178	52	3	7	34	1	12	1
Unknown Module (PID 7664)!0x2dd9637b	Unknown Module (PID 7664)	27	6	11	185	27	2	6	42	3	13	
Unknown Module (PID 7664)!0x2dd96615	Unknown Module (PID 7664)	27	6	12	207	31	5	23	41		26	1
Unknown Module (PID 7664)!0x2dd96667	Unknown Module (PID 7664)	27	9	10	190	25	2	34	64		68	
Unknown Module (PID 7664)!0x2dd9671b	Unknown Module (PID 7664)	27	95	2	145	1237			891	17	15	10
Unknown Module (PID 7664)!0x2dd96742	Unknown Module (PID 7664)	27	133	2	146	1393			990	25	13	12
Unknown Module (PID 7664)!0x2dd9e89b	Unknown Module (PID 7664)	27	49	5	119	1166	4	1	374	3	15	
Unknown Module (PID 7664)!0x2dda12dc	Unknown Module (PID 7664)	27	83	12	162	1258	6	2	908	2	16	2
Unknown Module (PID 7664)!0x2dda1574	Unknown Module (PID 7664)	27	77	2	99	836			632		19	
Unknown Module (PID 7664)!0x2dda1dc7	Unknown Module (PID 7664)	27	107	3	97	1403			893	1	21	
Unknown Module (PID 7664)!0x2dda2e3f	Unknown Module (PID 7664)	27	87	2	134	1021	7		807		7	
Unknown Module (PID 7664)!0x2dda3720	Unknown Module (PID 7664)	27	96	5	153	1071	4		892		12	2
Unknown Module (PID 7664)!0x2dda44db	Unknown Module (PID 7664)	27	130	3	162	1315	4		998		21	
Unknown Module (PID 7664)!0x2dda47d0	Unknown Module (PID 7664)	27	86	1	119	1160			887	2	14	
Unknown Module (PID 7664)!0x2dda47d5	Unknown Module (PID 7664)	27	111	2	170	1432			1097	2	19	
Unknown Module (PID 7664)!0x2dda47ee	Unknown Module (PID 7664)	27	112	1	118	1276	1		941	1	15	
Unknown Module (PID 7664)!0x2dda4a64	Unknown Module (PID 7664)	27	123	2	193	1493			1082	2	24	
