Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	L1 DTLB hit	DRAM accesses	Read req L3	L3 misses
Unknown Module (PID 7664)!0x2dd962dd	Unknown Module (PID 7664)	3306	742	3602	20606	18449	115	992	5860	212	1594	126
Unknown Module (PID 7664)!0x2dd9605d	Unknown Module (PID 7664)	3193	573	3170	19359	8367	119	1369	4799	182	1731	100
Unknown Module (PID 7664)!0x2dd9602a	Unknown Module (PID 7664)	3179	703	3303	19574	8160	137	1442	5843	177	1774	107
multiply_matrices_ikj_1150(void)	OMPMul.exe	3155	12130	383	16706	137861	26	24	104516	301	1657	130
Unknown Module (PID 7664)!0x2dd962e1	Unknown Module (PID 7664)	3142	768	3263	19016	6136	95	1521	6073	194	1829	118
Unknown Module (PID 7664)!0x2dd9604c	Unknown Module (PID 7664)	3130	605	2907	18813	8045	122	1405	4821	183	1696	111
Unknown Module (PID 7664)!0x2dd9603b	Unknown Module (PID 7664)	3107	711	3085	19653	7618	148	1457	5750	193	1786	102
Unknown Module (PID 7664)!0x2dd96019	Unknown Module (PID 7664)	3075	605	3101	18832	10310	152	1441	5201	173	1844	97
Unknown Module (PID 7664)!0x2dd9606e	Unknown Module (PID 7664)	3024	541	2904	18187	8486	111	1356	4476	190	1647	98
Unknown Module (PID 7664)!0x2dd9607f	Unknown Module (PID 7664)	3014	537	2946	18839	8680	127	1281	4333	180	1621	96
Unknown Module (PID 7664)!0x2dd96090	Unknown Module (PID 7664)	2995	630	2826	18662	8496	114	1374	5399	205	1623	107
Unknown Module (PID 7664)!0x2dd95d5b	Unknown Module (PID 7664)	2936	639	2780	17580	7553	151	1279	5100	149	1584	83
multiply_matrices_ikj_1100(void)	OMPMul.exe	2900	10421	310	14566	120921	25	23	91458	172	1661	69
Unknown Module (PID 7664)!0x2dd95d4a	Unknown Module (PID 7664)	2872	601	2810	17286	6480	140	1338	5052	145	1576	84
Unknown Module (PID 7664)!0x2dd95ffd	Unknown Module (PID 7664)	2861	678	3190	18230	15702	130	887	5154	184	1447	91
Unknown Module (PID 7664)!0x2dd95d6c	Unknown Module (PID 7664)	2847	558	2608	16390	6932	143	1249	4328	145	1470	86
Unknown Module (PID 7664)!0x2dd95d7d	Unknown Module (PID 7664)	2833	503	2827	17097	7023	109	1228	4205	164	1524	85
Unknown Module (PID 7664)!0x2dd95d8e	Unknown Module (PID 7664)	2816	512	2689	16184	7315	121	1193	3914	152	1460	82
Unknown Module (PID 7664)!0x2dd95d39	Unknown Module (PID 7664)	2801	582	2777	16950	8422	140	1267	4697	162	1610	84
multiply_matrices_ijk_700(void)	OMPMul.exe	2792	949	4109	14905	13592	1314	1232	8120	115	2482	34
Unknown Module (PID 7664)!0x2dd96001	Unknown Module (PID 7664)	2758	644	2966	16387	5445	88	1319	5469	180	1673	113
Unknown Module (PID 7664)!0x2dd95d1d	Unknown Module (PID 7664)	2728	612	2747	16176	15006	140	805	4670	151	1179	82
multiply_matrices_ijk_ikj_1100_55(void)	OMPMul.exe	2700	11438	292	15397	148875	374	6	100536	187	541	64
Unknown Module (PID 7664)!0x2dd95d9f	Unknown Module (PID 7664)	2671	476	2697	16410	7517	119	1184	3818	151	1394	79
Unknown Module (PID 7664)!0x2dd95db0	Unknown Module (PID 7664)	2667	614	2589	16340	8060	106	1181	4838	164	1498	81
Unknown Module (PID 7664)!0x2dd95a8c	Unknown Module (PID 7664)	2650	464	2381	14617	7304	136	1048	3888	176	1372	88
Unknown Module (PID 7664)!0x2dd95a6a	Unknown Module (PID 7664)	2597	567	2506	15114	7424	139	1139	4494	164	1384	86
Unknown Module (PID 7664)!0x2dd95a9d	Unknown Module (PID 7664)	2565	477	2404	15283	6726	136	1064	3649	176	1424	82
Unknown Module (PID 7664)!0x2dd95a59	Unknown Module (PID 7664)	2536	478	2442	14740	8822	130	1083	4154	182	1503	84
Unknown Module (PID 7664)!0x2dd95a7b	Unknown Module (PID 7664)	2529	563	2357	15086	6814	135	1144	4478	183	1467	80
Unknown Module (PID 7664)!0x2dd95d21	Unknown Module (PID 7664)	2516	569	2684	14826	5294	90	1168	4882	151	1439	84
Unknown Module (PID 7664)!0x2dd95aae	Unknown Module (PID 7664)	2478	452	2313	14360	6712	103	1044	3509	171	1357	80
Unknown Module (PID 7664)!0x2dd95abf	Unknown Module (PID 7664)	2470	449	2386	14554	6233	112	959	3454	198	1386	83
Unknown Module (PID 7664)!0x2dd95a3d	Unknown Module (PID 7664)	2424	516	2531	14116	11642	123	698	4149	170	1152	89
Unknown Module (PID 7664)!0x2ddb8afb	Unknown Module (PID 7664)	2389	4232	297	11471	58930	14	46	41043	1189	886	587
Unknown Module (PID 7664)!0x2ddb687b	Unknown Module (PID 7664)	2382	4259	346	11890	60924	15	43	42048	1222	905	567
multiply_matrices_ikj_1050(void)	OMPMul.exe	2379	9093	267	12998	107490	28	25	78094	132	1301	46
Unknown Module (PID 7664)!0x2dd95ad0	Unknown Module (PID 7664)	2372	506	2345	14343	5740	128	1088	4230	175	1336	87
multiply_matrices_ijk_ikj_1100_50(void)	OMPMul.exe	2344	10831	267	12893	146556	394	12	98788	139	440	36
multiply_matrices_ikj_1250(void)	OMPMul.exe	2282	7857	222	13081	91550	18	13	65456	564	1094	270
Unknown Module (PID 7664)!0x2dd95a41	Unknown Module (PID 7664)	2250	532	2392	13230	4365	98	975	4151	177	1379	83
multiply_matrices_ijk_ikj_1050_525(void)	OMPMul.exe	2184	9432	353	12431	114993	44	34	81642	77	1329	23
multiply_matrices_ijk_ikj_1050_1050(void)	OMPMul.exe	2180	9331	303	12091	115558	24	19	80265	107	1254	35
Unknown Module (PID 7664)!0x2dd957bd	Unknown Module (PID 7664)	2076	394	2103	12768	6089	119	917	3211	87	1151	33
Unknown Module (PID 7664)!0x2dd9578a	Unknown Module (PID 7664)	2072	461	2035	12653	6514	113	982	3884	102	1164	43
multiply_matrices_ijk_ikj_1050_350(void)	OMPMul.exe	2068	9014	389	11103	114786	83	11	82612	74	1425	23
