Function	Module	Timer	DC accesses	DC misses	CPU clocks	Ret inst	DTLB L1M L2H	DTLB L1M L2M	DRAM accesses	L3 misses
multiply_matrices_ijk_ikj_1300_260(void)	OMPMul.exe	1877	8810	1049	10662	16316	432	15	105	61
multiply_matrices_ikj_1200(void)	OMPMul.exe	1870	7396	363	11522	12195	8	55	122	76
multiply_matrices_ijk_ikj_1200_400(void)	OMPMul.exe	1844	7136	684	11444	12695	184	18	84	43
multiply_matrices_ijk_ikj_1500_150(void)	OMPMul.exe	1840	9057	1241	10642	14067	520	11	64	41
multiply_matrices_ijk_ikj_1450_145(void)	OMPMul.exe	1828	9305	1163	10697	11740	487	11	59	33
multiply_matrices_ijk_ikj_1150_1150(void)	OMPMul.exe	1821	8113	335	11065	11604	7	50	71	47
multiply_matrices_ijk_ikj_1200_600(void)	OMPMul.exe	1792	7068	662	11190	12582	56	74	69	45
multiply_matrices_ikj_1150(void)	OMPMul.exe	1783	8136	318	11092	10761	6	48	86	51
multiply_matrices_ijk_ikj_1150_115(void)	OMPMul.exe	1757	9344	948	9970	12302	613	8	76	39
multiply_matrices_ijk_ikj_1300_100(void)	OMPMul.exe	1734	9117	583	10164	18569	975	18	94	60
multiply_matrices_ijk_ikj_1200_75(void)	OMPMul.exe	1725	10910	386	10315	15828	988	24	93	44
multiply_matrices_ijk_ikj_1200_120(void)	OMPMul.exe	1722	6994	1703	9851	12561	645	15	56	34
multiply_matrices_ijk_ikj_1200_50(void)	OMPMul.exe	1700	9768	344	10199	17536	1366	39	98	46
multiply_matrices_ijk_ikj_1500_75(void)	OMPMul.exe	1676	10623	251	9776	15405	958	23	80	48
multiply_matrices_ikj_1300(void)	OMPMul.exe	1664	4740	230	10214	7727		41	527	373
multiply_matrices_ijk_ikj_1500_50(void)	OMPMul.exe	1647	9203	291	9614	16792	1375	42	124	64
multiply_matrices_ijk_ikj_1400_175(void)	OMPMul.exe	1622	8722	906	9391	11389	373	10	45	26
multiply_matrices_ijk_ikj_1100_550(void)	OMPMul.exe	1579	7016	473	9611	10165	68	39	36	19
multiply_matrices_ijk_ikj_1200_60(void)	OMPMul.exe	1566	8017	338	9141	17304	1188	31	101	49
multiply_matrices_ijk_ikj_1050_525(void)	OMPMul.exe	1565	7409	421	9677	9014	70	19	38	24
multiply_matrices_ijk_ikj_1150_230(void)	OMPMul.exe	1548	7911	790	8847	11967	297	9	48	32
multiply_matrices_ijk_ikj_1100_55(void)	OMPMul.exe	1531	9485	236	9168	15743	993	27	67	38
multiply_matrices_ijk_ikj_1500_60(void)	OMPMul.exe	1514	7964	252	8913	17070	1147	32	92	51
multiply_matrices_ijk_ikj_1200_200(void)	OMPMul.exe	1507	6905	1090	8824	12297	406	13	58	38
multiply_matrices_ijk_ikj_1450_50(void)	OMPMul.exe	1492	8361	286	8795	15311	1221	35	87	48
multiply_matrices_ijk_ikj_1150_50(void)	OMPMul.exe	1490	8505	277	8897	15523	1198	35	88	39
multiply_matrices_ijk_ikj_1400_700(void)	OMPMul.exe	1474	5697	533	8974	10308	21	81	42	15
multiply_matrices_ijk_ikj_1400_350(void)	OMPMul.exe	1468	7045	568	8874	10366	204	13	34	26
multiply_matrices_ijk_ikj_1100_110(void)	OMPMul.exe	1456	7305	827	8489	11894	526	10	63	34
multiply_matrices_ijk_ikj_1200_240(void)	OMPMul.exe	1455	6677	795	8384	11964	344	13	92	54
multiply_matrices_ijk_ikj_1200_100(void)	OMPMul.exe	1442	7048	719	8247	14426	769	14	59	45
multiply_matrices_ijk_ikj_1450_290(void)	OMPMul.exe	1439	7465	667	8222	10929	276	14	41	31
multiply_matrices_ijk_ikj_1050_105(void)	OMPMul.exe	1433	6891	881	8241	9083	465	10	52	28
multiply_matrices_ijk_ikj_1100_275(void)	OMPMul.exe	1427	8105	616	8218	9914	209	8	39	18
multiply_matrices_ijk_ikj_1450_58(void)	OMPMul.exe	1408	8370	245	8474	14915	1059	31	86	50
multiply_matrices_ijk_ikj_1200_300(void)	OMPMul.exe	1385	6842	764	8176	12556	272	9	68	39
multiply_matrices_ijk_ikj_1100_1100(void)	OMPMul.exe	1381	5483	281	8195	9852	9	43	43	29
multiply_matrices_ikj_1100(void)	OMPMul.exe	1372	5638	260	8340	9290	7	41	98	61
multiply_matrices_ijk_ikj_1050_175(void)	OMPMul.exe	1368	7091	702	7806	9302	283	7	43	25
multiply_matrices_ijk_ikj_1400_50(void)	OMPMul.exe	1361	7684	260	7976	13956	1164	34	90	47
multiply_matrices_ijk_ikj_1500_100(void)	OMPMul.exe	1359	7061	486	7929	14398	738	16	62	40
multiply_matrices_ijk_ikj_1050_1050(void)	OMPMul.exe	1348	6147	242	8218	8709	7	33	33	22
multiply_matrices_ijk_ikj_1400_140(void)	OMPMul.exe	1339	5896	1063	7739	11081	446	11	44	26
multiply_matrices_ijk_ikj_1400_70(void)	OMPMul.exe	1335	7805	277	7773	14099	825	20	82	38
multiply_matrices_ijk_ikj_1200_80(void)	OMPMul.exe	1301	6899	362	7754	13264	910	22	72	34
multiply_matrices_ijk_ikj_1100_50(void)	OMPMul.exe	1284	7228	203	7543	13155	1094	26	63	41
multiply_matrices_ijk_ikj_1050_150(void)	OMPMul.exe	1270	6213	818	7363	9561	322	9	41	22
multiply_matrices_ikj_1050(void)	OMPMul.exe	1268	5993	231	7856	7866	11	37	36	16
multiply_matrices_ijk_ikj_1000_125(void)	OMPMul.exe	1257	6462	807	7391	8710	315	6	37	20
multiply_matrices_ijk_ikj_1050_350(void)	OMPMul.exe	1214	5632	417	7017	8361	143	4	41	24
multiply_matrices_ijk_700(void)	OMPMul.exe	1192	2732	1802	7244	4848	11887	159	99	52
multiply_matrices_ijk_ikj_1400_200(void)	OMPMul.exe	1183	5357	829	6742	9533	340	12	39	25
multiply_matrices_ijk_ikj_1050_210(void)	OMPMul.exe	1174	6086	651	6836	8996	221	4	35	20
multiply_matrices_ijk_ikj_1100_220(void)	OMPMul.exe	1168	5340	683	6425	9827	272	7	42	23
multiply_matrices_ijk_ikj_950_475(void)	OMPMul.exe	1167	5464	302	7095	6600	64	4	24	13
multiply_matrices_ijk_ikj_1050_75(void)	OMPMul.exe	1164	7417	305	6932	10762	618	14	42	20
multiply_matrices_ijk_ikj_1050_50(void)	OMPMul.exe	1135	6301	258	6721	11372	926	27	41	22
multiply_matrices_ijk_ikj_1400_280(void)	OMPMul.exe	1131	5506	665	6652	9806	248	11	36	26
multiply_matrices_ijk_ikj_1050_70(void)	OMPMul.exe	1129	6495	276	6519	11804	674	16	52	28
multiply_matrices_ijk_ikj_1400_56(void)	OMPMul.exe	1115	5419	242	6392	10686	1032	26	112	63
