Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time
ijk_ikj_700_175,1884888888.8889,645333333.3333,533333333.3333,0.0000,0.0000,740644444.4444,14333333.3333,10033333.3333,1738888.8889,1661111.1111,22222.2222,0.0469
ijk_ikj_700_140,1871111111.1111,638444444.4444,527111111.1111,0.0000,0.0000,628533333.3333,12600000.0000,13105555.5556,1166666.6667,1116666.6667,16666.6667,0.0699
ijk_ikj_650_26,1828000000.0000,484666666.6667,400888888.8889,0.0000,0.0000,671733333.3333,1466666.6667,394444.4444,672222.2222,650000.0000,5555.5556,0.0446
ijk_ikj_650_25,1816666666.6667,528888888.8889,435777777.7778,22222.2222,0.0000,527422222.2222,1311111.1111,627777.7778,933333.3333,961111.1111,5555.5556,0.0413
ijk_ikj_600_15,1701333333.3333,446444444.4444,368222222.2222,0.0000,0.0000,483466666.6667,1511111.1111,833333.3333,1011111.1111,1011111.1111,5555.5556,0.0336
ijk_750,1649777777.7778,1923111111.1111,1589555555.5556,133333.3333,22222.2222,460666666.6667,461733333.3333,447094444.4444,26900000.0000,26761111.1111,61111.1111,0.1424
ijk_ikj_650_50,1644222222.2222,485555555.5556,402000000.0000,0.0000,0.0000,678622222.2222,1288888.8889,911111.1111,283333.3333,250000.0000,16666.6667,0.0418
ikj_1000,1642666666.6667,730222222.2222,580888888.8889,22222.2222,0.0000,329866666.6667,41000000.0000,33288888.8889,6044444.4444,5150000.0000,883333.3333,0.1941
ijk_ikj_600_12,1614000000.0000,412888888.8889,343333333.3333,0.0000,0.0000,602866666.6667,2911111.1111,1066666.6667,711111.1111,694444.4444,5555.5556,0.0374
ijk_ikj_650_65,1588888888.8889,480000000.0000,397777777.7778,0.0000,0.0000,558377777.7778,2288888.8889,1983333.3333,277777.7778,266666.6667,0.0000,0.0413
ijk_ikj_650_130,1523777777.7778,501555555.5556,414666666.6667,0.0000,0.0000,605844444.4444,12177777.7778,9277777.7778,522222.2222,494444.4444,22222.2222,0.0584
ijk_ikj_550_10,1496888888.8889,396000000.0000,327111111.1111,0.0000,0.0000,279022222.2222,1933333.3333,3150000.0000,694444.4444,666666.6667,0.0000,0.0334
ijk_ikj_550_11,1476222222.2222,417777777.7778,344000000.0000,0.0000,0.0000,507177777.7778,2711111.1111,1177777.7778,661111.1111,644444.4444,0.0000,0.0308
ijk_ikj_600_25,1427555555.5556,403111111.1111,334000000.0000,0.0000,0.0000,429000000.0000,1022222.2222,400000.0000,705555.5556,688888.8889,5555.5556,0.0304
ijk_ikj_600_20,1415777777.7778,387777777.7778,322444444.4444,0.0000,0.0000,410644444.4444,1066666.6667,505555.5556,822222.2222,833333.3333,16666.6667,0.0336
ikj_950,1410888888.8889,665777777.7778,534222222.2222,22222.2222,0.0000,294266666.6667,28200000.0000,22650000.0000,4116666.6667,3688888.8889,383333.3333,0.1889
ijk_ikj_600_30,1397333333.3333,409777777.7778,338666666.6667,0.0000,0.0000,466555555.5556,1200000.0000,533333.3333,466666.6667,450000.0000,5555.5556,0.0276
