Function / Call Stack,INST_RETIRED.ANY,CPU_CLK_UNHALTED.THREAD,CPU_CLK_UNHALTED.REF_TSC,DTLB_LOAD_MISSES.MISS_CAUSES_A_WALK,ITLB_MISSES.MISS_CAUSES_A_WALK,MEM_LOAD_RETIRED.L1_HIT_PS,MEM_LOAD_RETIRED.L1_MISS_PS,MEM_LOAD_RETIRED.L2_HIT_PS,MEM_LOAD_RETIRED.L2_MISS_PS,MEM_LOAD_RETIRED.L3_HIT_PS,MEM_LOAD_RETIRED.L3_MISS_PS,time
ijk_1050,4071400000.0000,5468200000.0000,4520000000.0000,12060000.0000,20000.0000,1137180000.0000,1144900000.0000,1092060000.0000,77130000.0000,72395000.0000,1770000.0000,0.3998
ikj_1400,4026000000.0000,2326400000.0000,1804000000.0000,1460000.0000,0.0000,793040000.0000,98720000.0000,80920000.0000,20790000.0000,7865000.0000,12960000.0000,0.6103
ijk_ikj_850_17,4014000000.0000,1097600000.0000,907600000.0000,120000.0000,0.0000,1245000000.0000,4360000.0000,875000.0000,3455000.0000,3460000.0000,20000.0000,0.0788
ijk_ikj_900_45,3945200000.0000,1124000000.0000,933000000.0000,60000.0000,0.0000,1433120000.0000,3080000.0000,2020000.0000,900000.0000,860000.0000,55000.0000,0.0790
ijk_ikj_900_50,3930200000.0000,1113600000.0000,920800000.0000,40000.0000,0.0000,1499700000.0000,2640000.0000,1730000.0000,695000.0000,630000.0000,35000.0000,0.0906
ijk_ikj_900_36,3920600000.0000,1158000000.0000,952000000.0000,100000.0000,0.0000,1390700000.0000,3000000.0000,1905000.0000,1215000.0000,1175000.0000,40000.0000,0.0905
ijk_ikj_900_75,3793800000.0000,1110600000.0000,919000000.0000,0.0000,0.0000,1415480000.0000,11520000.0000,9725000.0000,580000.0000,530000.0000,20000.0000,0.0827
ijk_ikj_900_60,3735200000.0000,1068000000.0000,883400000.0000,0.0000,0.0000,1444100000.0000,3180000.0000,2015000.0000,615000.0000,555000.0000,20000.0000,0.0900
ijk_ikj_900_90,3722000000.0000,1169600000.0000,969200000.0000,40000.0000,0.0000,1256920000.0000,26780000.0000,27775000.0000,550000.0000,465000.0000,65000.0000,0.1036
ijk_ikj_850_25,3656400000.0000,1021200000.0000,844600000.0000,20000.0000,0.0000,1240840000.0000,3360000.0000,1390000.0000,1860000.0000,1845000.0000,10000.0000,0.0758
ijk_ikj_900_100,3627000000.0000,1193400000.0000,985200000.0000,20000.0000,0.0000,1221200000.0000,27580000.0000,28645000.0000,895000.0000,825000.0000,45000.0000,0.1100
ijk_ikj_900_150,3617000000.0000,1222000000.0000,1008600000.0000,40000.0000,0.0000,1253220000.0000,24240000.0000,23535000.0000,2275000.0000,2195000.0000,90000.0000,0.1205
ikj_1350,3614800000.0000,2216400000.0000,1716600000.0000,1600000.0000,0.0000,751800000.0000,69100000.0000,53410000.0000,13830000.0000,6635000.0000,7215000.0000,0.5850
ijk_ikj_900_225,3559200000.0000,1279000000.0000,1051400000.0000,40000.0000,0.0000,1213500000.0000,22800000.0000,19185000.0000,5950000.0000,5895000.0000,65000.0000,0.0870
ijk_ikj_900_180,3555200000.0000,1203200000.0000,993600000.0000,0.0000,0.0000,1249220000.0000,24580000.0000,20930000.0000,4125000.0000,4050000.0000,55000.0000,0.1395
ijk_1000,3518000000.0000,4395000000.0000,3624400000.0000,10800000.0000,0.0000,997340000.0000,1005540000.0000,919070000.0000,74660000.0000,72305000.0000,860000.0000,0.3552
ijk_ikj_850_34,3497200000.0000,1022800000.0000,843600000.0000,40000.0000,0.0000,1259660000.0000,2760000.0000,1455000.0000,1010000.0000,985000.0000,40000.0000,0.0744
ijk_ikj_750_10,3420800000.0000,873400000.0000,724200000.0000,20000.0000,0.0000,963800000.0000,6680000.0000,3785000.0000,2640000.0000,2660000.0000,20000.0000,0.0666
ijk_ikj_850_50,3309800000.0000,909200000.0000,750800000.0000,60000.0000,0.0000,1239640000.0000,1940000.0000,1160000.0000,590000.0000,555000.0000,30000.0000,0.0762
ikj_1300,3205400000.0000,1764400000.0000,1369400000.0000,740000.0000,0.0000,638020000.0000,78460000.0000,62670000.0000,16020000.0000,8400000.0000,7620000.0000,0.4640
ijk_ikj_800_16,3176800000.0000,856800000.0000,707200000.0000,0.0000,0.0000,976120000.0000,3420000.0000,820000.0000,2990000.0000,2975000.0000,0.0000,0.0624
ijk_ikj_850_85,3131400000.0000,979600000.0000,810400000.0000,40000.0000,0.0000,1070040000.0000,21620000.0000,21710000.0000,525000.0000,470000.0000,30000.0000,0.0841
ijk_ikj_800_25,3048400000.0000,813000000.0000,674800000.0000,40000.0000,0.0000,1039920000.0000,2740000.0000,805000.0000,1525000.0000,1535000.0000,20000.0000,0.0665
ijk_ikj_850_170,3032600000.0000,1072200000.0000,887600000.0000,40000.0000,0.0000,1053240000.0000,19600000.0000,18355000.0000,2570000.0000,2495000.0000,60000.0000,0.1147
